Time, HR, GSR,label
0,457,517,happy
0,457,517,happy
0,457,517,happy
0,457,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,456,517,happy
0,455,517,happy
0,455,517,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,455,516,happy
0,454,516,happy
0,454,516,happy
0,454,516,happy
0,454,516,happy
0,454,516,happy
0,454,516,happy
0,453,516,happy
1,453,516,happy
1,453,515,happy
1,453,515,happy
1,453,515,happy
1,452,515,happy
1,452,515,happy
1,452,515,happy
1,452,515,happy
1,452,515,happy
1,451,515,happy
1,451,514,happy
1,451,515,happy
1,451,514,happy
1,451,514,happy
1,450,514,happy
1,450,514,happy
1,450,514,happy
1,450,514,happy
1,450,514,happy
1,450,514,happy
1,449,514,happy
1,449,514,happy
1,449,513,happy
1,448,513,happy
1,448,513,happy
1,447,513,happy
1,447,512,happy
1,445,512,happy
1,342,498,happy
1,283,502,happy
1,443,514,happy
1,448,517,happy
1,445,514,happy
1,128,502,happy
1,159,504,happy
1,327,506,happy
1,444,518,happy
1,446,518,happy
1,231,504,happy
1,40,505,happy
2,161,506,happy
2,306,507,happy
2,389,508,happy
2,402,509,happy
2,346,508,happy
2,291,508,happy
2,259,509,happy
2,249,509,happy
2,252,509,happy
2,259,509,happy
2,264,509,happy
2,263,510,happy
2,257,510,happy
2,250,510,happy
2,242,510,happy
2,236,510,happy
2,233,510,happy
2,233,510,happy
2,234,510,happy
2,237,510,happy
2,238,510,happy
2,236,510,happy
2,233,510,happy
2,230,510,happy
2,228,510,happy
2,226,510,happy
2,224,510,happy
2,224,510,happy
2,224,510,happy
2,223,510,happy
2,223,510,happy
2,223,510,happy
2,223,510,happy
2,223,510,happy
2,223,510,happy
2,223,510,happy
2,222,510,happy
2,220,510,happy
2,220,510,happy
3,219,510,happy
3,219,510,happy
3,223,510,happy
3,232,510,happy
3,244,510,happy
3,253,511,happy
3,256,510,happy
3,255,510,happy
3,250,511,happy
3,242,511,happy
3,235,510,happy
3,230,511,happy
3,227,511,happy
3,227,511,happy
3,229,510,happy
3,230,511,happy
3,230,511,happy
3,230,511,happy
3,228,510,happy
3,227,511,happy
3,226,511,happy
3,225,511,happy
3,224,511,happy
3,223,511,happy
3,223,511,happy
3,223,511,happy
3,223,511,happy
3,224,511,happy
3,224,511,happy
3,225,511,happy
3,226,511,happy
3,226,511,happy
3,227,508,happy
3,227,511,happy
3,227,511,happy
3,226,509,happy
3,225,511,happy
3,225,511,happy
3,226,511,happy
4,232,511,happy
4,241,511,happy
4,247,511,happy
4,253,511,happy
4,250,511,happy
4,251,511,happy
4,242,511,happy
4,238,511,happy
4,233,511,happy
4,230,511,happy
4,228,511,happy
4,228,511,happy
4,228,511,happy
4,229,511,happy
4,229,510,happy
4,229,511,happy
4,228,511,happy
4,226,511,happy
4,225,511,happy
4,224,511,happy
4,222,511,happy
4,221,511,happy
4,221,511,happy
4,221,511,happy
4,221,511,happy
4,220,512,happy
4,220,511,happy
4,221,511,happy
4,220,512,happy
4,221,511,happy
4,223,512,happy
4,226,512,happy
4,230,512,happy
4,238,512,happy
4,236,512,happy
4,232,512,happy
5,230,511,happy
5,228,512,happy
5,226,512,happy
5,226,512,happy
5,225,512,happy
5,226,512,happy
5,226,512,happy
5,226,512,happy
5,228,512,happy
5,223,512,happy
5,211,512,happy
5,204,512,happy
5,204,512,happy
5,207,514,happy
5,211,512,happy
5,215,512,happy
5,218,512,happy
5,219,512,happy
5,219,512,happy
5,220,512,happy
5,218,512,happy
5,217,512,happy
5,217,512,happy
5,219,512,happy
5,221,512,happy
5,224,512,happy
5,227,512,happy
5,226,512,happy
5,229,512,happy
5,233,512,happy
5,228,512,happy
5,226,512,happy
5,229,512,happy
5,223,512,happy
5,223,512,happy
5,221,512,happy
5,222,512,happy
5,221,512,happy
5,222,512,happy
6,221,512,happy
6,221,512,happy
6,220,512,happy
6,219,512,happy
6,219,512,happy
6,218,512,happy
6,221,512,happy
6,217,512,happy
6,214,512,happy
6,221,512,happy
6,217,512,happy
6,217,512,happy
6,217,513,happy
6,218,512,happy
6,218,512,happy
6,217,512,happy
6,215,512,happy
6,220,512,happy
6,221,512,happy
6,223,512,happy
6,226,512,happy
6,227,512,happy
6,225,512,happy
6,226,512,happy
6,231,512,happy
6,230,512,happy
6,229,512,happy
6,225,512,happy
6,225,512,happy
6,224,512,happy
6,224,512,happy
6,225,512,happy
6,224,512,happy
6,223,512,happy
6,225,512,happy
6,226,512,happy
6,229,512,happy
6,225,512,happy
6,225,512,happy
7,224,512,happy
7,223,512,happy
7,225,512,happy
7,221,512,happy
7,217,512,happy
7,220,512,happy
7,218,512,happy
7,222,512,happy
