Time, HR, GSR,label
0,458,514,sad
0,458,513,sad
0,458,514,sad
0,458,514,sad
0,457,514,sad
0,458,514,sad
0,458,514,sad
0,458,514,sad
0,458,514,sad
0,458,514,sad
0,458,514,sad
0,458,514,sad
0,458,513,sad
0,458,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,513,sad
0,457,518,sad
0,457,513,sad
0,456,513,sad
0,456,513,sad
0,456,513,sad
0,456,513,sad
0,456,513,sad
0,456,512,sad
0,456,512,sad
0,456,512,sad
0,455,512,sad
0,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,455,513,sad
1,454,513,sad
1,454,513,sad
1,454,513,sad
1,454,513,sad
1,454,513,sad
1,454,513,sad
1,454,512,sad
1,453,512,sad
1,454,512,sad
1,453,512,sad
1,453,512,sad
1,453,512,sad
1,453,512,sad
1,453,512,sad
1,452,512,sad
1,452,512,sad
1,452,512,sad
1,451,511,sad
1,451,511,sad
1,451,511,sad
1,451,511,sad
1,451,511,sad
1,451,511,sad
1,450,511,sad
1,450,511,sad
1,450,510,sad
1,450,513,sad
1,449,510,sad
1,449,510,sad
1,449,510,sad
1,448,509,sad
2,448,509,sad
2,448,509,sad
2,447,509,sad
2,447,509,sad
2,446,508,sad
2,445,508,sad
2,392,498,sad
2,279,497,sad
2,441,508,sad
2,447,512,sad
2,446,510,sad
2,170,497,sad
2,159,499,sad
2,327,501,sad
2,445,513,sad
2,446,513,sad
2,254,499,sad
2,55,500,sad
2,192,501,sad
2,333,502,sad
2,410,504,sad
2,446,515,sad
2,294,501,sad
2,18,501,sad
2,100,502,sad
2,281,504,sad
2,251,504,sad
2,234,504,sad
2,229,504,sad
2,233,504,sad
2,244,504,sad
2,253,504,sad
2,257,504,sad
2,256,504,sad
2,254,504,sad
3,249,504,sad
3,247,504,sad
3,243,504,sad
3,240,504,sad
3,239,504,sad
3,239,504,sad
3,239,504,sad
3,238,504,sad
3,238,504,sad
3,237,504,sad
3,235,504,sad
3,233,504,sad
3,231,504,sad
3,229,504,sad
3,229,504,sad
3,228,504,sad
3,227,504,sad
3,227,504,sad
3,227,504,sad
3,227,504,sad
3,227,504,sad
3,227,504,sad
3,227,504,sad
3,226,504,sad
3,224,504,sad
3,224,504,sad
3,226,504,sad
3,230,504,sad
3,239,504,sad
3,247,504,sad
3,253,504,sad
3,254,504,sad
3,252,504,sad
3,249,504,sad
3,246,504,sad
3,242,504,sad
3,239,504,sad
3,236,504,sad
3,235,504,sad
4,235,504,sad
4,236,504,sad
4,236,504,sad
4,235,504,sad
4,234,504,sad
4,232,504,sad
4,230,504,sad
4,228,504,sad
4,227,504,sad
4,226,504,sad
4,225,509,sad
4,226,504,sad
4,225,504,sad
4,225,504,sad
4,225,501,sad
4,225,504,sad
4,224,504,sad
4,224,504,sad
4,224,504,sad
4,223,504,sad
4,222,504,sad
4,222,504,sad
4,224,504,sad
4,230,504,sad
4,238,504,sad
4,246,504,sad
4,251,504,sad
4,252,505,sad
4,249,505,sad
4,247,504,sad
4,243,505,sad
4,240,505,sad
4,238,504,sad
4,235,504,sad
4,233,504,sad
4,233,504,sad
4,233,505,sad
4,233,504,sad
4,232,504,sad
5,231,504,sad
5,229,504,sad
5,227,504,sad
5,225,504,sad
5,224,504,sad
5,224,504,sad
5,222,504,sad
5,222,504,sad
5,223,504,sad
5,222,505,sad
5,222,504,sad
5,221,504,sad
5,221,505,sad
5,222,505,sad
5,221,505,sad
5,220,504,sad
5,220,505,sad
5,219,505,sad
5,220,505,sad
5,220,505,sad
5,221,505,sad
5,225,505,sad
5,233,505,sad
5,240,505,sad
5,246,505,sad
5,248,505,sad
5,247,505,sad
5,245,505,sad
5,242,505,sad
5,239,505,sad
5,236,506,sad
5,233,505,sad
5,231,505,sad
5,230,505,sad
5,231,505,sad
5,231,505,sad
5,231,505,sad
5,230,505,sad
5,228,505,sad
6,226,505,sad
6,224,505,sad
6,224,505,sad
6,222,505,sad
6,219,505,sad
6,222,505,sad
6,222,505,sad
6,222,505,sad
6,221,505,sad
6,221,505,sad
6,221,505,sad
6,221,505,sad
6,221,505,sad
6,220,505,sad
6,219,505,sad
6,219,505,sad
6,219,505,sad
6,219,505,sad
6,220,505,sad
6,224,505,sad
6,230,505,sad
6,237,505,sad
6,243,505,sad
6,246,505,sad
6,245,505,sad
6,242,505,sad
6,240,505,sad
6,236,505,sad
6,233,505,sad
6,230,505,sad
6,229,505,sad
6,227,505,sad
6,230,505,sad
6,232,505,sad
6,232,505,sad
6,230,505,sad
6,229,505,sad
6,227,505,sad
6,226,505,sad
7,223,505,sad
7,221,505,sad
7,222,505,sad
7,221,505,sad
7,224,505,sad
7,222,505,sad
7,223,505,sad
7,223,505,sad
7,223,505,sad
7,222,505,sad
7,221,505,sad
7,221,505,sad
7,220,505,sad
7,225,505,sad
7,222,505,sad
7,226,505,sad
7,233,505,sad
7,240,505,sad
7,244,505,sad
7,245,505,sad
7,243,505,sad
7,239,505,sad
7,235,505,sad
7,232,505,sad
7,229,505,sad
7,228,505,sad
7,228,505,sad
7,229,505,sad
7,230,505,sad
7,230,505,sad
7,229,505,sad
7,227,505,sad
7,225,505,sad
7,221,505,sad
7,222,505,sad
7,221,505,sad
7,221,505,sad
7,222,505,sad
7,221,505,sad
8,221,505,sad
8,221,505,sad
8,221,505,sad
8,221,505,sad
8,220,505,sad
8,220,505,sad
8,219,505,sad
8,219,505,sad
8,220,505,sad
8,220,505,sad
8,223,505,sad
8,230,505,sad
8,239,505,sad
8,245,505,sad
8,248,505,sad
8,247,505,sad
8,244,505,sad
8,241,505,sad
8,238,505,sad
8,235,505,sad
8,231,505,sad
8,229,505,sad
8,228,505,sad
8,229,505,sad
8,228,505,sad
8,229,505,sad
8,227,505,sad
8,225,505,sad
8,223,505,sad
8,221,505,sad
8,220,505,sad
8,219,505,sad
8,219,505,sad
8,219,505,sad
8,217,505,sad
8,219,505,sad
8,220,505,sad
8,219,505,sad
8,218,505,sad
9,218,505,sad
9,218,505,sad
9,218,505,sad
9,217,505,sad
9,217,505,sad
9,217,505,sad
9,218,505,sad
9,220,505,sad
9,227,505,sad
9,235,505,sad
9,243,505,sad
9,247,505,sad
9,247,505,sad
9,244,505,sad
9,240,505,sad
9,237,505,sad
9,233,505,sad
9,229,505,sad
9,227,505,sad
9,227,505,sad
9,227,505,sad
9,227,505,sad
9,227,505,sad
9,226,505,sad
9,224,505,sad
9,222,505,sad
9,221,505,sad
9,220,505,sad
9,219,505,sad
9,218,505,sad
9,218,505,sad
9,218,505,sad
9,218,505,sad
9,217,505,sad
9,218,505,sad
9,218,505,sad
9,217,505,sad
9,217,505,sad
9,217,505,sad
10,217,505,sad
10,217,505,sad
10,216,505,sad
10,215,505,sad
10,217,505,sad
10,222,505,sad
10,230,505,sad
10,238,505,sad
10,244,505,sad
10,247,505,sad
10,244,505,sad
10,241,505,sad
10,237,508,sad
10,234,505,sad
10,231,504,sad
10,229,504,sad
10,227,504,sad
10,226,504,sad
10,227,504,sad
10,227,505,sad
10,226,505,sad
10,224,505,sad
10,222,505,sad
10,219,505,sad
10,217,506,sad
10,218,506,sad
10,215,506,sad
10,217,506,sad
10,219,506,sad
10,220,506,sad
10,220,507,sad
10,220,507,sad
10,222,507,sad
10,222,507,sad
10,221,507,sad
10,220,507,sad
10,221,507,sad
10,220,507,sad
10,218,507,sad
11,220,507,sad
11,227,506,sad
11,236,506,sad
11,245,506,sad
11,253,506,sad
11,255,506,sad
11,250,506,sad
11,244,506,sad
11,238,506,sad
11,228,505,sad
11,223,505,sad
11,219,505,sad
11,217,505,sad
11,216,505,sad
11,217,505,sad
11,219,504,sad
11,219,504,sad
11,219,504,sad
11,220,504,sad
11,221,504,sad
11,221,504,sad
11,220,504,sad
11,220,504,sad
11,219,504,sad
11,220,504,sad
11,221,504,sad
11,222,504,sad
11,221,504,sad
11,222,504,sad
11,222,504,sad
11,220,504,sad
11,220,504,sad
11,220,504,sad
11,219,504,sad
11,218,504,sad
11,218,504,sad
11,219,504,sad
11,220,507,sad
11,226,504,sad
12,235,504,sad
12,244,504,sad
12,248,504,sad
12,248,504,sad
12,245,504,sad
12,240,504,sad
12,234,504,sad
12,230,504,sad
12,226,504,sad
