Time, HR, GSR,label
0,453,526,tired
0,453,526,tired
0,451,526,tired
0,453,526,tired
0,453,526,tired
0,453,526,tired
0,453,526,tired
0,453,526,tired
0,453,526,tired
0,452,526,tired
0,452,526,tired
0,452,526,tired
0,451,526,tired
0,452,526,tired
0,451,526,tired
0,452,526,tired
0,452,526,tired
0,452,526,tired
0,451,525,tired
0,451,526,tired
0,451,526,tired
0,451,525,tired
0,451,526,tired
0,451,526,tired
0,451,525,tired
0,450,525,tired
0,450,525,tired
0,450,525,tired
0,450,525,tired
0,450,525,tired
0,450,525,tired
0,449,525,tired
0,449,525,tired
1,449,525,tired
1,449,525,tired
1,449,525,tired
1,449,525,tired
1,448,525,tired
1,448,525,tired
1,448,525,tired
1,448,524,tired
1,448,525,tired
1,447,524,tired
1,447,524,tired
1,447,524,tired
1,447,524,tired
1,446,524,tired
1,446,524,tired
1,446,524,tired
1,445,524,tired
1,445,524,tired
1,445,523,tired
1,444,523,tired
1,444,523,tired
1,443,523,tired
1,441,521,tired
1,304,512,tired
1,443,526,tired
1,444,527,tired
1,442,524,tired
1,158,514,tired
1,334,516,tired
1,444,529,tired
1,442,527,tired
1,270,517,tired
1,441,529,tired
1,443,529,tired
1,70,516,tired
1,133,517,tired
1,324,518,tired
2,441,530,tired
2,441,528,tired
2,35,517,tired
2,117,518,tired
2,291,519,tired
2,400,520,tired
2,443,531,tired
2,137,517,tired
2,41,518,tired
2,183,519,tired
2,318,520,tired
2,375,520,tired
2,359,520,tired
2,310,521,tired
2,269,521,tired
2,247,521,tired
2,239,521,tired
2,239,521,tired
2,240,521,tired
2,237,521,tired
2,239,523,tired
2,237,521,tired
2,235,521,tired
2,233,521,tired
2,233,521,tired
2,233,521,tired
2,232,521,tired
2,232,521,tired
2,230,521,tired
2,231,521,tired
2,231,521,tired
2,231,521,tired
2,230,521,tired
2,230,521,tired
2,230,521,tired
2,230,521,tired
3,229,521,tired
3,229,521,tired
3,229,521,tired
3,228,521,tired
3,228,521,tired
3,228,521,tired
3,228,521,tired
3,228,521,tired
3,228,521,tired
3,227,521,tired
3,226,521,tired
3,228,521,tired
3,231,521,tired
3,235,521,tired
3,238,521,tired
3,238,521,tired
3,236,520,tired
3,233,521,tired
3,230,521,tired
3,229,521,tired
3,229,521,tired
3,228,521,tired
3,228,521,tired
3,229,521,tired
3,229,521,tired
3,228,521,tired
3,228,521,tired
3,229,522,tired
3,228,521,tired
3,228,521,tired
3,227,521,tired
3,227,521,tired
3,226,521,tired
3,228,521,tired
3,227,521,tired
3,226,521,tired
3,231,521,tired
4,227,521,tired
4,227,521,tired
4,227,521,tired
4,227,521,tired
4,227,521,tired
4,225,521,tired
4,226,521,tired
4,227,521,tired
4,230,521,tired
4,235,521,tired
4,236,521,tired
4,236,522,tired
4,234,521,tired
4,234,521,tired
4,234,522,tired
4,233,521,tired
4,233,521,tired
4,229,521,tired
4,229,521,tired
4,228,521,tired
4,228,521,tired
4,227,521,tired
4,229,521,tired
4,233,521,tired
4,232,521,tired
4,228,521,tired
4,227,521,tired
4,228,521,tired
4,226,521,tired
4,227,521,tired
4,227,521,tired
4,225,521,tired
4,225,521,tired
4,229,521,tired
4,230,521,tired
4,226,521,tired
4,226,521,tired
5,225,521,tired
5,225,521,tired
5,225,521,tired
5,226,521,tired
5,226,521,tired
5,233,521,tired
5,233,521,tired
5,239,521,tired
5,239,521,tired
5,237,521,tired
5,235,521,tired
5,233,521,tired
