Time, HR, GSR,label
0,451,521,relaxed
0,451,521,relaxed
0,451,520,relaxed
0,450,520,relaxed
0,450,520,relaxed
0,450,520,relaxed
0,450,520,relaxed
0,450,520,relaxed
0,449,520,relaxed
0,449,520,relaxed
0,449,519,relaxed
0,448,519,relaxed
0,446,518,relaxed
0,232,505,relaxed
0,152,513,relaxed
0,270,509,relaxed
0,379,511,relaxed
0,446,524,relaxed
0,448,524,relaxed
0,444,520,relaxed
0,28,509,relaxed
0,49,510,relaxed
0,166,511,relaxed
0,276,512,relaxed
0,334,513,relaxed
0,338,513,relaxed
0,304,514,relaxed
0,268,514,relaxed
0,241,511,relaxed
0,228,514,relaxed
0,223,514,relaxed
0,224,514,relaxed
0,226,513,relaxed
0,227,514,relaxed
1,227,515,relaxed
1,227,515,relaxed
1,228,515,relaxed
1,229,515,relaxed
1,235,515,relaxed
1,251,515,relaxed
1,271,515,relaxed
1,284,515,relaxed
1,284,515,relaxed
1,272,515,relaxed
1,256,515,relaxed
1,241,515,relaxed
1,229,515,relaxed
1,222,522,relaxed
1,219,515,relaxed
1,223,515,relaxed
1,229,515,relaxed
1,235,515,relaxed
1,238,515,relaxed
1,236,515,relaxed
1,233,515,relaxed
1,228,515,relaxed
1,223,515,relaxed
1,222,515,relaxed
1,221,515,relaxed
1,222,515,relaxed
1,224,515,relaxed
1,226,515,relaxed
1,227,515,relaxed
1,228,518,relaxed
1,229,515,relaxed
1,228,515,relaxed
1,226,515,relaxed
1,225,515,relaxed
1,223,512,relaxed
1,222,515,relaxed
1,222,519,relaxed
1,225,515,relaxed
2,235,515,relaxed
2,253,515,relaxed
2,272,515,relaxed
2,282,515,relaxed
2,277,515,relaxed
2,263,515,relaxed
2,246,519,relaxed
2,232,515,relaxed
2,221,515,relaxed
2,216,515,relaxed
2,215,515,relaxed
2,219,515,relaxed
2,227,515,relaxed
2,233,515,relaxed
2,235,515,relaxed
2,233,515,relaxed
2,227,515,relaxed
2,222,515,relaxed
2,219,515,relaxed
2,218,515,relaxed
2,218,515,relaxed
2,220,518,relaxed
2,222,515,relaxed
2,224,515,relaxed
2,226,515,relaxed
2,227,515,relaxed
2,230,515,relaxed
2,227,515,relaxed
2,226,515,relaxed
2,224,515,relaxed
