Time, HR, GSR,label
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,527,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,461,525,happy
0,460,524,happy
0,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,522,happy
1,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,525,happy
1,460,524,happy
1,459,525,happy
1,459,525,happy
1,459,524,happy
1,459,525,happy
1,459,525,happy
1,459,525,happy
1,460,525,happy
1,460,525,happy
1,459,525,happy
1,459,524,happy
1,459,524,happy
1,459,524,happy
1,459,524,happy
1,459,524,happy
1,459,524,happy
1,459,523,happy
1,459,524,happy
1,459,524,happy
1,459,524,happy
1,458,524,happy
1,458,524,happy
1,458,524,happy
1,458,524,happy
1,458,524,happy
1,458,524,happy
1,458,524,happy
2,458,524,happy
2,458,524,happy
2,457,524,happy
2,457,523,happy
2,457,523,happy
2,457,523,happy
2,457,523,happy
2,457,523,happy
2,457,523,happy
2,457,523,happy
2,456,523,happy
2,457,523,happy
2,456,522,happy
2,456,523,happy
2,456,523,happy
2,456,523,happy
2,455,522,happy
2,455,522,happy
2,455,522,happy
2,454,522,happy
2,454,522,happy
2,454,522,happy
2,453,521,happy
2,453,521,happy
2,454,521,happy
2,453,521,happy
2,452,521,happy
2,452,521,happy
2,452,521,happy
2,452,521,happy
2,451,520,happy
2,451,520,happy
2,451,520,happy
2,451,520,happy
3,451,520,happy
3,451,520,happy
3,450,520,happy
3,450,520,happy
3,450,520,happy
3,450,519,happy
3,449,519,happy
3,449,519,happy
3,448,518,happy
3,446,517,happy
3,224,505,happy
3,153,507,happy
3,266,509,happy
3,371,510,happy
3,441,519,happy
3,448,524,happy
3,446,521,happy
3,80,508,happy
3,26,510,happy
3,116,510,happy
3,234,511,happy
3,313,512,happy
3,339,517,happy
3,324,513,happy
3,292,513,happy
3,257,513,happy
3,238,513,happy
3,229,514,happy
3,231,514,happy
3,242,514,happy
3,259,514,happy
3,271,514,happy
3,274,514,happy
3,267,514,happy
3,255,514,happy
3,243,511,happy
3,233,514,happy
4,226,514,happy
4,224,514,happy
4,227,514,happy
4,231,514,happy
4,236,514,happy
4,238,514,happy
4,236,514,happy
4,231,514,happy
4,228,514,happy
4,226,514,happy
4,225,514,happy
4,225,514,happy
4,225,514,happy
4,226,514,happy
4,228,518,happy
4,230,514,happy
4,231,514,happy
4,231,514,happy
4,230,514,happy
4,229,514,happy
4,227,514,happy
4,227,514,happy
4,226,514,happy
4,227,514,happy
4,233,514,happy
4,247,514,happy
4,266,514,happy
4,282,514,happy
4,281,514,happy
4,271,514,happy
4,256,514,happy
4,244,514,happy
4,234,514,happy
4,227,514,happy
4,223,514,happy
4,225,514,happy
4,228,514,happy
5,231,514,happy
5,234,514,happy
5,233,514,happy
5,230,514,happy
5,227,514,happy
5,225,514,happy
5,223,514,happy
5,222,514,happy
5,223,514,happy
5,224,514,happy
5,226,514,happy
5,228,514,happy
5,229,514,happy
5,229,514,happy
5,227,514,happy
5,226,514,happy
5,225,513,happy
5,224,514,happy
5,224,514,happy
5,224,514,happy
5,225,514,happy
5,226,514,happy
5,237,514,happy
5,253,514,happy
5,268,515,happy
5,274,515,happy
5,269,514,happy
5,257,519,happy
5,244,514,happy
5,233,514,happy
5,225,514,happy
5,220,514,happy
5,219,514,happy
5,222,514,happy
5,226,514,happy
5,229,514,happy
5,229,514,happy
5,227,514,happy
6,224,514,happy
6,221,514,happy
6,221,514,happy
6,220,514,happy
6,220,514,happy
6,222,514,happy
6,224,514,happy
6,225,514,happy
6,226,514,happy
6,226,514,happy
6,225,514,happy
6,224,514,happy
6,224,514,happy
6,223,514,happy
6,223,514,happy
6,223,512,happy
6,223,514,happy
6,223,514,happy
6,221,514,happy
6,224,514,happy
6,224,514,happy
6,224,514,happy
6,224,514,happy
6,224,514,happy
6,224,514,happy
6,224,515,happy
6,224,515,happy
6,224,514,happy
6,224,514,happy
6,224,515,happy
6,224,515,happy
6,224,515,happy
6,224,515,happy
6,225,515,happy
6,225,515,happy
6,225,515,happy
6,224,515,happy
7,224,515,happy
7,224,515,happy
7,225,515,happy
7,225,515,happy
7,236,515,happy
7,255,515,happy
7,271,515,happy
7,275,515,happy
7,269,515,happy
7,257,515,happy
7,243,515,happy
7,235,515,happy
7,228,514,happy
7,223,519,happy
7,221,514,happy
7,223,516,happy
7,226,515,happy
7,227,515,happy
7,226,514,happy
7,223,514,happy
7,221,514,happy
7,217,514,happy
7,215,514,happy
7,215,514,happy
7,215,514,happy
7,219,514,happy
7,224,514,happy
7,223,514,happy
7,224,514,happy
7,224,514,happy
7,225,514,happy
7,223,514,happy
7,223,514,happy
7,223,514,happy
7,223,514,happy
7,222,514,happy
7,222,514,happy
7,223,514,happy
8,223,514,happy
8,223,514,happy
8,223,515,happy
8,224,519,happy
8,224,511,happy
8,223,514,happy
8,223,514,happy
8,222,514,happy
8,222,515,happy
8,219,515,happy
8,215,515,happy
8,212,514,happy
8,208,515,happy
8,208,513,happy
8,215,516,happy
8,230,514,happy
8,247,521,happy
8,256,515,happy
8,254,515,happy
8,247,515,happy
8,240,515,happy
8,232,520,happy
8,227,519,happy
8,224,519,happy
8,221,519,happy
8,222,515,happy
8,225,515,happy
8,228,515,happy
8,229,515,happy
8,227,515,happy
8,224,515,happy
8,222,515,happy
8,222,515,happy
8,222,515,happy
8,225,518,happy
8,227,511,happy
8,228,513,happy
8,229,515,happy
9,231,515,happy
9,232,515,happy
9,232,515,happy
9,233,515,happy
9,232,515,happy
9,231,515,happy
9,230,513,happy
9,230,515,happy
9,230,515,happy
9,231,515,happy
9,232,515,happy
9,234,515,happy
9,236,515,happy
9,237,515,happy
9,236,515,happy
9,232,515,happy
9,228,514,happy
9,222,515,happy
9,219,511,happy
9,217,515,happy
9,217,515,happy
9,220,515,happy
9,223,514,happy
9,231,515,happy
9,245,515,happy
9,264,515,happy
9,276,515,happy
9,275,515,happy
9,265,514,happy
9,252,515,happy
9,241,515,happy
9,233,515,happy
9,227,515,happy
9,224,515,happy
9,224,515,happy
9,227,513,happy
9,230,513,happy
10,232,515,happy
10,232,515,happy
10,229,515,happy
10,227,515,happy
10,225,515,happy
10,225,514,happy
10,224,515,happy
10,224,514,happy
10,222,515,happy
10,222,515,happy
10,221,515,happy
10,221,515,happy
10,220,515,happy
10,221,515,happy
10,221,515,happy
10,222,515,happy
10,222,515,happy
10,223,515,happy
10,223,515,happy
10,222,515,happy
10,222,515,happy
10,223,515,happy
10,222,515,happy
10,222,515,happy
10,222,515,happy
10,222,515,happy
10,222,514,happy
10,222,515,happy
10,222,515,happy
10,222,515,happy
10,222,515,happy
10,224,515,happy
10,232,515,happy
10,247,515,happy
10,261,515,happy
10,272,515,happy
10,269,515,happy
10,257,515,happy
11,245,515,happy
11,235,515,happy
11,228,514,happy
11,223,515,happy
11,222,515,happy
11,222,515,happy
11,226,515,happy
11,228,515,happy
11,229,515,happy
11,228,515,happy
11,225,515,happy
11,222,515,happy
11,221,515,happy
11,219,515,happy
11,219,515,happy
11,220,515,happy
11,222,515,happy
11,223,515,happy
11,224,515,happy
11,224,515,happy
11,224,515,happy
11,224,515,happy
11,224,515,happy
11,222,515,happy
11,222,515,happy
11,221,515,happy
11,221,515,happy
11,221,515,happy
11,223,515,happy
11,223,515,happy
11,222,515,happy
11,223,515,happy
11,223,515,happy
11,223,515,happy
11,223,515,happy
11,225,515,happy
11,233,515,happy
12,247,515,happy
12,261,515,happy
12,269,515,happy
12,266,515,happy
12,256,515,happy
12,244,515,happy
12,235,515,happy
12,228,515,happy
12,224,515,happy
12,221,515,happy
12,223,515,happy
12,226,515,happy
12,228,515,happy
12,230,515,happy
12,228,515,happy
12,224,515,happy
12,221,515,happy
12,219,515,happy
12,219,515,happy
12,219,515,happy
12,221,515,happy
12,222,515,happy
12,224,515,happy
12,225,515,happy
12,226,515,happy
12,225,515,happy
12,224,515,happy
12,223,515,happy
12,222,515,happy
12,221,515,happy
12,221,515,happy
12,222,515,happy
12,222,515,happy
12,227,515,happy
12,237,515,happy
12,250,515,happy
12,260,515,happy
12,261,515,happy
13,251,515,happy
13,243,515,happy
13,233,515,happy
13,225,515,happy
13,219,515,happy
13,215,515,happy
13,220,515,happy
13,224,515,happy
13,229,515,happy
13,230,515,happy
13,229,515,happy
13,226,515,happy
13,222,515,happy
13,218,515,happy
13,218,515,happy
13,219,515,happy
13,220,515,happy
13,223,515,happy
13,224,515,happy
13,224,515,happy
13,225,515,happy
13,224,515,happy
13,223,515,happy
13,222,515,happy
13,220,515,happy
13,221,515,happy
13,221,515,happy
13,225,515,happy
13,235,515,happy
13,248,515,happy
13,261,515,happy
13,266,515,happy
13,260,515,happy
13,250,515,happy
13,239,515,happy
13,230,515,happy
13,223,519,happy
13,219,515,happy
14,219,515,happy
14,222,515,happy
14,227,515,happy
14,229,515,happy
14,228,515,happy
14,225,515,happy
14,222,515,happy
14,220,515,happy
14,219,515,happy
14,219,515,happy
14,219,515,happy
14,219,515,happy
14,223,515,happy
14,224,515,happy
14,225,515,happy
14,225,515,happy
14,224,515,happy
14,223,515,happy
14,221,515,happy
14,221,515,happy
14,221,515,happy
14,221,515,happy
14,221,515,happy
14,223,515,happy
14,229,515,happy
14,239,515,happy
14,255,515,happy
14,268,515,happy
14,270,515,happy
14,262,514,happy
14,249,515,happy
14,240,515,happy
14,231,515,happy
14,225,515,happy
14,221,515,happy
14,219,515,happy
14,221,515,happy
15,225,515,happy
15,227,520,happy
15,226,515,happy
15,223,515,happy
15,221,515,happy
15,219,515,happy
15,218,515,happy
15,219,515,happy
15,220,515,happy
15,221,515,happy
15,223,515,happy
15,223,515,happy
15,223,515,happy
15,223,515,happy
15,223,515,happy
15,223,515,happy
15,222,515,happy
15,221,515,happy
15,221,515,happy
15,221,515,happy
15,219,515,happy
15,221,515,happy
15,221,515,happy
15,222,515,happy
15,221,515,happy
15,224,515,happy
15,231,515,happy
15,245,515,happy
15,260,515,happy
15,269,515,happy
15,267,515,happy
15,256,515,happy
15,245,515,happy
15,236,515,happy
15,229,515,happy
15,223,515,happy
15,219,515,happy
15,219,515,happy
16,221,515,happy
16,223,515,happy
16,225,515,happy
16,224,515,happy
16,221,515,happy
16,219,515,happy
16,218,515,happy
16,217,515,happy
16,218,515,happy
16,220,515,happy
16,221,515,happy
16,222,515,happy
16,221,515,happy
16,223,515,happy
16,223,515,happy
16,222,515,happy
16,222,515,happy
16,221,514,happy
16,221,515,happy
16,220,515,happy
16,222,515,happy
16,222,515,happy
16,222,515,happy
16,222,515,happy
16,223,515,happy
16,222,515,happy
16,219,515,happy
16,222,515,happy
16,223,515,happy
16,222,515,happy
16,222,515,happy
16,223,515,happy
16,223,515,happy
16,223,515,happy
16,221,515,happy
16,221,515,happy
16,224,515,happy
17,224,515,happy
17,226,515,happy
17,227,515,happy
17,227,515,happy
17,226,515,happy
17,223,515,happy
17,216,515,happy
17,211,515,happy
17,212,515,happy
17,218,515,happy
17,237,515,happy
17,259,515,happy
17,274,515,happy
17,277,515,happy
17,270,515,happy
17,258,515,happy
17,247,515,happy
17,240,515,happy
17,232,515,happy
17,229,515,happy
17,228,515,happy
17,229,515,happy
17,230,515,happy
17,226,515,happy
17,220,515,happy
17,214,515,happy
17,210,515,happy
17,209,515,happy
17,214,515,happy
17,219,515,happy
17,223,515,happy
17,225,515,happy
17,226,512,happy
17,225,515,happy
17,223,515,happy
17,221,515,happy
17,217,515,happy
17,217,515,happy
18,215,515,happy
18,219,515,happy
18,220,515,happy
18,222,515,happy
18,223,515,happy
18,224,515,happy
18,224,515,happy
18,222,515,happy
18,221,515,happy
18,223,515,happy
18,222,515,happy
18,223,515,happy
18,224,515,happy
18,224,515,happy
18,224,515,happy
18,225,514,happy
18,228,519,happy
18,236,515,happy
18,252,515,happy
18,266,515,happy
18,272,515,happy
18,267,515,happy
18,255,515,happy
18,244,515,happy
18,235,515,happy
