Time, HR, GSR,label
0,452,508,excited
0,452,505,excited
0,452,505,excited
0,452,505,excited
0,451,505,excited
0,451,505,excited
0,451,505,excited
0,451,505,excited
0,456,505,excited
0,451,505,excited
0,450,505,excited
0,450,505,excited
0,450,505,excited
0,447,505,excited
0,449,505,excited
0,452,504,excited
0,447,504,excited
0,447,503,excited
0,445,502,excited
0,256,491,excited
0,277,494,excited
0,438,501,excited
0,448,509,excited
0,446,506,excited
0,117,493,excited
0,110,495,excited
0,276,497,excited
0,385,498,excited
0,444,509,excited
0,446,508,excited
0,90,495,excited
0,36,496,excited
0,150,497,excited
0,271,496,excited
0,338,498,excited
0,346,499,excited
1,311,499,excited
1,270,499,excited
1,240,499,excited
1,228,499,excited
1,232,499,excited
1,245,500,excited
1,258,500,excited
1,264,500,excited
1,263,500,excited
1,255,500,excited
1,248,500,excited
1,240,500,excited
1,232,500,excited
1,228,500,excited
1,227,500,excited
1,229,500,excited
1,232,500,excited
1,233,500,excited
1,234,500,excited
1,232,501,excited
1,229,501,excited
1,226,500,excited
1,222,501,excited
1,220,501,excited
1,217,501,excited
1,219,501,excited
1,220,501,excited
1,221,501,excited
1,221,501,excited
1,221,501,excited
1,221,501,excited
1,221,501,excited
1,221,501,excited
1,220,501,excited
1,219,501,excited
1,218,501,excited
1,218,501,excited
1,221,501,excited
2,230,501,excited
2,244,501,excited
2,256,501,excited
2,266,501,excited
2,266,501,excited
2,260,501,excited
2,252,501,excited
2,243,501,excited
2,236,501,excited
2,230,501,excited
2,227,501,excited
2,227,501,excited
2,230,501,excited
2,232,501,excited
2,233,501,excited
2,232,501,excited
2,229,501,excited
2,226,501,excited
2,223,501,excited
2,221,501,excited
2,220,501,excited
2,219,501,excited
2,219,501,excited
2,220,501,excited
2,220,501,excited
2,222,501,excited
2,222,501,excited
2,223,501,excited
2,223,501,excited
2,221,501,excited
2,220,501,excited
2,219,501,excited
2,218,501,excited
2,219,501,excited
2,223,501,excited
2,233,501,excited
2,247,501,excited
2,262,501,excited
2,269,501,excited
3,269,501,excited
3,263,501,excited
3,254,501,excited
3,246,501,excited
3,239,501,excited
3,234,501,excited
3,230,501,excited
3,228,501,excited
3,231,501,excited
3,232,501,excited
3,234,501,excited
3,233,501,excited
3,230,501,excited
3,226,501,excited
3,223,501,excited
3,221,501,excited
3,220,501,excited
3,220,501,excited
3,220,501,excited
3,220,501,excited
3,220,501,excited
3,220,501,excited
3,221,501,excited
3,221,501,excited
3,221,501,excited
3,220,501,excited
3,220,501,excited
3,220,501,excited
3,219,501,excited
3,217,501,excited
3,217,501,excited
3,218,502,excited
3,223,502,excited
3,233,502,excited
3,248,502,excited
3,261,502,excited
3,266,502,excited
3,263,502,excited
4,257,502,excited
4,249,502,excited
4,242,502,excited
4,234,502,excited
4,230,502,excited
4,223,502,excited
4,226,502,excited
4,228,502,excited
4,229,502,excited
4,230,502,excited
4,229,502,excited
4,226,503,excited
4,223,503,excited
4,220,503,excited
4,217,503,excited
4,218,503,excited
4,216,503,excited
4,217,503,excited
4,216,503,excited
4,217,503,excited
4,218,503,excited
4,218,503,excited
4,217,503,excited
4,218,503,excited
4,218,503,excited
4,217,503,excited
4,217,503,excited
4,217,503,excited
4,216,503,excited
4,216,503,excited
4,217,502,excited
4,221,503,excited
4,230,503,excited
4,243,503,excited
4,253,503,excited
4,260,503,excited
4,257,503,excited
4,252,503,excited
4,244,503,excited
5,237,503,excited
5,232,503,excited
5,227,503,excited
5,225,503,excited
5,224,503,excited
5,225,503,excited
5,226,503,excited
5,227,503,excited
5,227,503,excited
5,225,503,excited
5,222,503,excited
5,220,503,excited
5,218,503,excited
5,217,503,excited
5,216,503,excited
5,216,503,excited
5,218,503,excited
5,217,503,excited
5,218,503,excited
5,218,503,excited
5,217,503,excited
5,217,503,excited
5,217,503,excited
5,217,503,excited
5,217,503,excited
5,217,503,excited
5,217,503,excited
5,216,503,excited
5,217,503,excited
5,221,503,excited
5,231,509,excited
5,245,503,excited
5,259,503,excited
5,265,503,excited
5,265,503,excited
5,257,503,excited
5,251,503,excited
5,243,503,excited
6,237,503,excited
6,232,503,excited
6,229,503,excited
6,227,503,excited
6,228,503,excited
6,229,503,excited
6,230,503,excited
6,229,503,excited
6,228,504,excited
6,225,504,excited
6,222,504,excited
6,221,504,excited
6,218,505,excited
6,218,505,excited
6,218,505,excited
6,218,505,excited
6,219,505,excited
6,218,505,excited
6,219,505,excited
6,217,505,excited
6,218,505,excited
6,218,505,excited
6,217,505,excited
6,217,505,excited
6,216,505,excited
6,216,505,excited
6,216,505,excited
6,216,505,excited
6,218,505,excited
6,224,505,excited
6,236,505,excited
6,248,505,excited
6,257,505,excited
6,259,505,excited
6,255,505,excited
6,249,505,excited
6,241,505,excited
6,237,505,excited
6,232,507,excited
7,228,504,excited
7,227,504,excited
7,228,504,excited
7,228,504,excited
7,230,504,excited
7,230,504,excited
7,229,504,excited
7,226,504,excited
7,223,504,excited
7,221,503,excited
7,219,504,excited
7,218,504,excited
7,219,504,excited
7,219,504,excited
7,219,504,excited
7,220,504,excited
7,220,504,excited
7,220,504,excited
7,220,504,excited
7,220,504,excited
7,219,504,excited
7,219,504,excited
7,219,504,excited
7,218,504,excited
7,217,504,excited
7,218,504,excited
7,219,504,excited
7,223,504,excited
7,233,505,excited
7,244,504,excited
7,254,505,excited
7,256,505,excited
7,253,502,excited
7,247,505,excited
7,240,505,excited
7,235,504,excited
7,230,504,excited
7,225,504,excited
8,224,504,excited
8,225,507,excited
8,227,504,excited
8,228,504,excited
8,229,504,excited
8,227,504,excited
8,224,504,excited
8,222,504,excited
8,221,504,excited
8,218,504,excited
8,218,504,excited
8,218,504,excited
8,218,504,excited
8,218,504,excited
8,219,504,excited
8,218,504,excited
8,218,504,excited
8,218,504,excited
8,215,504,excited
8,218,504,excited
8,217,505,excited
8,217,504,excited
8,217,504,excited
8,217,504,excited
8,217,504,excited
8,216,504,excited
8,220,504,excited
8,228,504,excited
8,239,504,excited
8,248,510,excited
8,253,504,excited
8,251,504,excited
8,245,504,excited
8,237,504,excited
8,232,504,excited
8,227,504,excited
8,225,504,excited
8,223,504,excited
8,224,504,excited
9,226,504,excited
9,227,504,excited
9,227,504,excited
9,226,504,excited
9,224,504,excited
9,223,504,excited
9,221,504,excited
9,218,504,excited
9,218,504,excited
9,217,504,excited
9,218,504,excited
9,218,507,excited
9,219,504,excited
9,219,504,excited
9,219,503,excited
9,219,503,excited
9,218,503,excited
9,218,503,excited
9,217,503,excited
9,218,503,excited
9,217,503,excited
9,217,504,excited
9,217,504,excited
9,218,504,excited
9,221,508,excited
9,230,504,excited
9,241,504,excited
9,250,504,excited
9,254,506,excited
9,252,504,excited
9,246,504,excited
9,240,504,excited
9,235,504,excited
9,230,504,excited
9,227,504,excited
9,225,509,excited
9,226,504,excited
9,228,504,excited
10,229,504,excited
10,230,504,excited
10,229,502,excited
10,227,504,excited
10,224,504,excited
10,222,503,excited
10,221,500,excited
10,219,504,excited
10,218,504,excited
10,219,504,excited
10,219,504,excited
10,220,504,excited
10,220,504,excited
10,221,504,excited
10,221,504,excited
10,221,504,excited
10,221,504,excited
10,220,504,excited
10,219,504,excited
10,218,504,excited
10,218,504,excited
10,218,504,excited
10,219,504,excited
10,221,504,excited
10,228,504,excited
10,239,504,excited
10,249,508,excited
10,256,504,excited
10,257,504,excited
10,253,504,excited
10,245,505,excited
10,238,505,excited
10,232,505,excited
10,227,505,excited
10,226,504,excited
10,226,505,excited
10,229,504,excited
10,231,504,excited
10,232,504,excited
11,232,504,excited
