Time, HR, GSR,label
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,525,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,457,522,sad
0,457,522,sad
0,457,522,sad
0,457,522,sad
0,457,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,520,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
0,458,522,sad
1,457,522,sad
1,457,522,sad
1,457,522,sad
1,457,522,sad
1,457,522,sad
1,457,522,sad
1,456,522,sad
1,457,522,sad
1,456,522,sad
1,457,522,sad
1,456,522,sad
1,457,522,sad
1,457,522,sad
1,457,522,sad
1,456,522,sad
1,456,522,sad
1,456,522,sad
1,456,522,sad
1,456,522,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,455,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,456,521,sad
1,454,521,sad
1,453,521,sad
1,459,521,sad
1,455,521,sad
1,455,521,sad
1,455,521,sad
2,457,521,sad
2,458,521,sad
2,455,521,sad
2,454,521,sad
2,455,521,sad
2,455,521,sad
2,454,521,sad
2,454,521,sad
2,454,521,sad
2,454,520,sad
2,454,520,sad
2,454,520,sad
2,454,520,sad
2,454,520,sad
2,453,520,sad
2,455,520,sad
2,453,520,sad
2,453,520,sad
2,453,520,sad
2,454,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,452,520,sad
2,453,519,sad
2,452,519,sad
2,452,519,sad
2,451,519,sad
2,451,519,sad
2,451,519,sad
2,451,519,sad
2,455,519,sad
2,451,519,sad
2,450,519,sad
3,450,518,sad
3,450,518,sad
3,450,518,sad
3,449,518,sad
3,449,518,sad
3,449,518,sad
3,449,518,sad
3,448,518,sad
3,448,517,sad
3,447,517,sad
3,447,517,sad
3,447,517,sad
3,451,517,sad
3,446,516,sad
3,445,516,sad
3,444,515,sad
3,443,514,sad
3,301,504,sad
3,382,506,sad
3,446,520,sad
3,446,519,sad
3,445,518,sad
3,202,505,sad
3,207,506,sad
3,385,508,sad
3,446,522,sad
3,445,520,sad
3,195,506,sad
3,79,507,sad
3,229,508,sad
3,371,509,sad
3,444,522,sad
3,444,521,sad
3,58,507,sad
3,57,508,sad
3,195,509,sad
3,318,509,sad
3,375,510,sad
4,361,511,sad
4,320,511,sad
4,272,511,sad
4,243,511,sad
4,228,511,sad
4,223,511,sad
4,223,511,sad
4,225,511,sad
4,227,511,sad
4,228,511,sad
4,228,511,sad
4,233,511,sad
4,226,511,sad
4,226,511,sad
4,226,511,sad
4,225,511,sad
4,225,511,sad
4,225,511,sad
4,223,511,sad
4,224,511,sad
4,227,511,sad
4,236,511,sad
4,254,512,sad
4,275,512,sad
4,293,512,sad
4,293,512,sad
4,280,512,sad
4,268,512,sad
4,258,512,sad
4,252,512,sad
4,248,512,sad
4,245,512,sad
4,240,512,sad
4,234,512,sad
4,229,512,sad
4,227,512,sad
