Time, HR, GSR
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,455.00,525.00
0,457.00,525.00
0,457.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,458.00,525.00
0,463.00,525.00
0,458.00,525.00
0,457.00,525.00
0,458.00,525.00
0,457.00,525.00
0,459.00,525.00
0,457.00,525.00
0,457.00,525.00
0,457.00,525.00
0,463.00,525.00
0,457.00,525.00
0,457.00,525.00
0,462.00,525.00
0,457.00,525.00
0,457.00,525.00
0,457.00,525.00
0,457.00,525.00
0,457.00,525.00
1,458.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,462.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,456.00,525.00
1,455.00,525.00
1,455.00,525.00
1,455.00,525.00
1,455.00,525.00
1,455.00,525.00
1,455.00,525.00
1,455.00,525.00
1,458.00,524.00
1,454.00,525.00
1,460.00,524.00
1,454.00,524.00
1,454.00,524.00
1,454.00,524.00
1,454.00,524.00
1,458.00,524.00
1,453.00,524.00
2,453.00,524.00
2,453.00,524.00
2,453.00,524.00
2,452.00,524.00
2,453.00,524.00
2,453.00,524.00
2,453.00,524.00
2,453.00,524.00
2,454.00,524.00
2,453.00,524.00
2,453.00,524.00
2,454.00,524.00
2,455.00,524.00
2,451.00,524.00
2,452.00,524.00
2,452.00,524.00
2,452.00,524.00
2,454.00,524.00
2,451.00,524.00
2,457.00,524.00
2,451.00,524.00
2,451.00,524.00
2,452.00,524.00
2,450.00,524.00
2,450.00,524.00
2,450.00,524.00
2,450.00,523.00
2,449.00,523.00
2,449.00,529.00
2,449.00,523.00
2,448.00,523.00
2,453.00,523.00
2,448.00,523.00
2,447.00,523.00
3,447.00,523.00
3,447.00,523.00
3,447.00,523.00
3,446.00,523.00
3,442.00,523.00
3,444.00,522.00
3,442.00,521.00
3,255.00,510.00
3,268.00,513.00
3,440.00,525.00
3,446.00,528.00
3,442.00,524.00
3,66.00,514.00
3,169.00,516.00
3,319.00,517.00
3,391.00,519.00
3,366.00,519.00
3,305.00,519.00
3,257.00,519.00
3,232.00,519.00
3,223.00,520.00
3,223.00,520.00
3,225.00,520.00
3,227.00,520.00
3,228.00,520.00
3,227.00,520.00
3,227.00,520.00
3,226.00,520.00
3,225.00,520.00
3,224.00,520.00
3,223.00,520.00
3,223.00,520.00
3,228.00,519.00
3,238.00,520.00
4,253.00,519.00
4,262.00,519.00
4,263.00,519.00
4,258.00,519.00
4,253.00,519.00
4,248.00,519.00
4,244.00,519.00
4,240.00,519.00
4,236.00,519.00
4,235.00,519.00
4,234.00,519.00
4,233.00,519.00
4,232.00,519.00
4,231.00,519.00
4,229.00,519.00
4,227.00,520.00
4,225.00,519.00
4,224.00,519.00
4,222.00,519.00
4,222.00,519.00
4,222.00,519.00
4,222.00,519.00
4,221.00,519.00
4,221.00,519.00
4,221.00,519.00
4,220.00,519.00
4,220.00,519.00
4,219.00,519.00
4,219.00,519.00
4,219.00,519.00
4,219.00,519.00
4,219.00,519.00
4,221.00,519.00
4,228.00,519.00
5,240.00,519.00
5,253.00,519.00
5,259.00,519.00
5,257.00,519.00
5,252.00,519.00
5,246.00,519.00
5,241.00,523.00
5,238.00,519.00
5,235.00,519.00
5,233.00,519.00
5,232.00,519.00
5,232.00,519.00
5,231.00,519.00
5,230.00,519.00
5,229.00,519.00
5,226.00,519.00
5,224.00,519.00
5,223.00,519.00
5,222.00,519.00
5,221.00,519.00
5,221.00,519.00
5,220.00,519.00
5,221.00,519.00
5,219.00,519.00
5,225.00,519.00
5,220.00,519.00
5,219.00,519.00
5,219.00,519.00
5,218.00,519.00
5,218.00,519.00
5,219.00,519.00
5,224.00,519.00
5,235.00,519.00
5,247.00,519.00
6,255.00,519.00
6,256.00,519.00
6,252.00,519.00
6,247.00,519.00
6,241.00,522.00
6,236.00,519.00
6,232.00,519.00
6,230.00,519.00
6,229.00,519.00
6,229.00,519.00
6,229.00,519.00
6,228.00,519.00
6,227.00,519.00
6,225.00,519.00
6,223.00,519.00
6,221.00,519.00
6,220.00,518.00
6,220.00,519.00
6,219.00,519.00
6,219.00,519.00
6,220.00,519.00
6,220.00,519.00
6,220.00,519.00
6,220.00,519.00
6,218.00,519.00
6,219.00,519.00
6,218.00,519.00
6,216.00,519.00
6,219.00,519.00
6,227.00,519.00
6,238.00,519.00
6,250.00,519.00
6,256.00,519.00
6,256.00,519.00
7,251.00,519.00
7,246.00,519.00
7,241.00,519.00
7,237.00,519.00
7,233.00,519.00
7,231.00,519.00
7,230.00,519.00
7,230.00,519.00
7,230.00,519.00
7,228.00,519.00
7,226.00,519.00
7,224.00,519.00
7,223.00,519.00
7,222.00,519.00
7,219.00,519.00
7,220.00,519.00
7,220.00,519.00
7,220.00,519.00
7,220.00,519.00
7,219.00,519.00
7,218.00,519.00
7,219.00,519.00
7,218.00,519.00
7,218.00,519.00
7,218.00,519.00
7,220.00,519.00
7,218.00,519.00
7,219.00,519.00
7,224.00,519.00
7,235.00,519.00
7,246.00,519.00
7,251.00,519.00
7,254.00,519.00
7,251.00,519.00
8,245.00,519.00
8,240.00,519.00
8,242.00,519.00
8,235.00,519.00
8,231.00,519.00
8,226.00,519.00
8,228.00,519.00
8,228.00,519.00
8,227.00,519.00
8,226.00,519.00
8,225.00,519.00
8,224.00,519.00
8,222.00,519.00
8,221.00,519.00
8,226.00,519.00
8,220.00,519.00
8,219.00,519.00
8,215.00,519.00
8,219.00,519.00
8,219.00,519.00
8,218.00,519.00
8,218.00,519.00
8,219.00,519.00
8,218.00,519.00
8,218.00,519.00
8,218.00,519.00
8,218.00,519.00
8,219.00,519.00
8,225.00,519.00
8,236.00,519.00
8,246.00,519.00
8,252.00,519.00
8,252.00,519.00
8,247.00,519.00
9,241.00,519.00
9,237.00,519.00
9,233.00,519.00
9,230.00,519.00
9,229.00,519.00
9,229.00,519.00
9,230.00,519.00
9,230.00,519.00
9,228.00,519.00
9,226.00,519.00
9,224.00,519.00
9,222.00,519.00
9,221.00,519.00
9,221.00,519.00
9,220.00,519.00
9,220.00,519.00
9,220.00,519.00
9,220.00,519.00
9,220.00,519.00
9,222.00,519.00
9,219.00,519.00
9,219.00,519.00
9,218.00,519.00
9,218.00,519.00
9,214.00,519.00
9,221.00,519.00
9,226.00,519.00
