Time, HR, GSR
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,525.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,457.00,522.00
0,457.00,522.00
0,457.00,522.00
0,457.00,522.00
0,457.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,520.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,456.00,522.00
1,457.00,522.00
1,456.00,522.00
1,457.00,522.00
1,456.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,456.00,522.00
1,456.00,522.00
1,456.00,522.00
1,456.00,522.00
1,456.00,522.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,455.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,454.00,521.00
1,453.00,521.00
1,459.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
2,457.00,521.00
2,458.00,521.00
2,455.00,521.00
2,454.00,521.00
2,455.00,521.00
2,455.00,521.00
2,454.00,521.00
2,454.00,521.00
2,454.00,521.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,453.00,520.00
2,455.00,520.00
2,453.00,520.00
2,453.00,520.00
2,453.00,520.00
2,454.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,452.00,520.00
2,453.00,519.00
2,452.00,519.00
2,452.00,519.00
2,451.00,519.00
2,451.00,519.00
2,451.00,519.00
2,451.00,519.00
2,455.00,519.00
2,451.00,519.00
2,450.00,519.00
3,450.00,518.00
3,450.00,518.00
3,450.00,518.00
3,449.00,518.00
3,449.00,518.00
3,449.00,518.00
3,449.00,518.00
3,448.00,518.00
3,448.00,517.00
3,447.00,517.00
3,447.00,517.00
3,447.00,517.00
3,451.00,517.00
3,446.00,516.00
3,445.00,516.00
3,444.00,515.00
3,443.00,514.00
3,301.00,504.00
3,382.00,506.00
3,446.00,520.00
3,446.00,519.00
3,445.00,518.00
3,202.00,505.00
3,207.00,506.00
3,385.00,508.00
3,446.00,522.00
3,445.00,520.00
3,195.00,506.00
3,79.00,507.00
3,229.00,508.00
3,371.00,509.00
3,444.00,522.00
3,444.00,521.00
3,58.00,507.00
3,57.00,508.00
3,195.00,509.00
3,318.00,509.00
3,375.00,510.00
4,361.00,511.00
4,320.00,511.00
4,272.00,511.00
4,243.00,511.00
4,228.00,511.00
4,223.00,511.00
4,223.00,511.00
4,225.00,511.00
4,227.00,511.00
4,228.00,511.00
4,228.00,511.00
4,233.00,511.00
4,226.00,511.00
4,226.00,511.00
4,226.00,511.00
4,225.00,511.00
4,225.00,511.00
4,225.00,511.00
4,223.00,511.00
4,224.00,511.00
4,227.00,511.00
4,236.00,511.00
4,254.00,512.00
4,275.00,512.00
4,293.00,512.00
4,293.00,512.00
4,280.00,512.00
4,268.00,512.00
4,258.00,512.00
4,252.00,512.00
4,248.00,512.00
4,245.00,512.00
4,240.00,512.00
4,234.00,512.00
4,229.00,512.00
4,227.00,512.00
4,225.00,511.00
4,229.00,512.00
4,229.00,511.00
5,228.00,511.00
5,227.00,511.00
5,225.00,511.00
