Time, HR, GSR
0,458.00,514.00
0,458.00,514.00
0,458.00,514.00
0,457.00,514.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,457.00,513.00
0,456.00,513.00
0,456.00,513.00
0,456.00,513.00
0,456.00,513.00
0,456.00,513.00
0,456.00,513.00
0,452.00,513.00
0,455.00,513.00
0,455.00,512.00
0,455.00,512.00
0,455.00,512.00
0,455.00,512.00
0,458.00,512.00
0,455.00,512.00
0,455.00,512.00
0,455.00,512.00
0,453.00,512.00
0,454.00,512.00
0,454.00,512.00
0,454.00,512.00
0,454.00,512.00
0,454.00,511.00
0,453.00,511.00
1,453.00,511.00
1,453.00,511.00
1,453.00,511.00
1,453.00,511.00
1,451.00,511.00
1,452.00,511.00
1,452.00,510.00
1,452.00,515.00
1,452.00,510.00
1,451.00,510.00
1,451.00,510.00
1,451.00,509.00
1,456.00,509.00
1,450.00,509.00
1,450.00,509.00
1,449.00,509.00
1,449.00,508.00
1,453.00,508.00
1,448.00,508.00
1,447.00,507.00
1,446.00,507.00
1,444.00,505.00
1,258.00,495.00
1,342.00,498.00
1,447.00,512.00
1,446.00,512.00
1,445.00,509.00
1,109.00,497.00
1,169.00,499.00
1,326.00,501.00
1,440.00,510.00
1,447.00,514.00
1,305.00,500.00
1,34.00,500.00
1,131.00,501.00
1,270.00,502.00
1,361.00,503.00
1,370.00,503.00
1,327.00,503.00
2,240.00,502.00
2,195.00,502.00
2,188.00,502.00
2,199.00,502.00
2,216.00,502.00
2,230.00,502.00
2,236.00,502.00
2,238.00,502.00
2,236.00,502.00
2,235.00,502.00
2,237.00,502.00
2,245.00,498.00
2,254.00,502.00
2,260.00,502.00
2,262.00,502.00
2,258.00,502.00
2,250.00,502.00
2,243.00,502.00
2,237.00,502.00
2,232.00,502.00
2,231.00,506.00
2,232.00,502.00
2,234.00,502.00
2,236.00,502.00
2,236.00,502.00
2,235.00,502.00
2,232.00,502.00
2,229.00,502.00
2,223.00,502.00
2,224.00,502.00
2,223.00,502.00
2,223.00,502.00
2,224.00,502.00
2,225.00,502.00
2,227.00,502.00
2,228.00,502.00
2,227.00,502.00
2,226.00,502.00
3,224.00,502.00
3,222.00,502.00
3,222.00,501.00
3,229.00,502.00
3,238.00,502.00
3,252.00,502.00
3,259.00,502.00
3,260.00,502.00
3,255.00,502.00
3,249.00,501.00
3,241.00,502.00
3,235.00,502.00
3,232.00,502.00
3,232.00,502.00
3,233.00,502.00
3,236.00,502.00
3,237.00,502.00
3,235.00,502.00
3,233.00,508.00
3,230.00,502.00
3,227.00,498.00
3,226.00,502.00
3,225.00,502.00
3,224.00,502.00
3,225.00,502.00
3,225.00,502.00
3,225.00,502.00
3,225.00,502.00
3,224.00,508.00
3,223.00,502.00
3,222.00,506.00
3,222.00,502.00
3,221.00,506.00
3,222.00,502.00
3,225.00,502.00
3,232.00,502.00
3,244.00,503.00
3,251.00,503.00
4,254.00,503.00
4,251.00,503.00
4,246.00,503.00
4,240.00,503.00
4,235.00,503.00
4,231.00,503.00
4,229.00,503.00
4,229.00,503.00
4,230.00,503.00
4,231.00,503.00
4,231.00,503.00
4,230.00,503.00
4,228.00,501.00
4,226.00,503.00
4,225.00,503.00
4,224.00,505.00
4,223.00,503.00
4,221.00,503.00
4,221.00,503.00
4,221.00,503.00
4,221.00,503.00
4,221.00,503.00
4,222.00,503.00
4,222.00,502.00
4,221.00,503.00
4,220.00,503.00
4,220.00,503.00
4,220.00,503.00
4,224.00,503.00
4,231.00,502.00
4,240.00,503.00
4,247.00,503.00
4,250.00,503.00
4,247.00,503.00
4,243.00,503.00
4,237.00,503.00
4,230.00,503.00
4,227.00,503.00
4,226.00,503.00
5,228.00,503.00
5,229.00,503.00
5,230.00,503.00
5,229.00,503.00
5,228.00,503.00
5,226.00,503.00
5,224.00,503.00
5,222.00,503.00
5,221.00,503.00
5,222.00,502.00
5,222.00,503.00
5,222.00,503.00
5,222.00,503.00
5,223.00,503.00
5,223.00,508.00
5,221.00,499.00
5,220.00,502.00
5,219.00,503.00
5,218.00,502.00
5,218.00,505.00
5,220.00,502.00
5,225.00,502.00
5,235.00,502.00
5,241.00,502.00
5,248.00,502.00
5,246.00,503.00
5,242.00,502.00
5,238.00,502.00
5,233.00,502.00
5,229.00,502.00
5,227.00,502.00
5,226.00,502.00
5,228.00,502.00
5,230.00,502.00
5,229.00,502.00
5,228.00,500.00
5,226.00,502.00
5,224.00,502.00
6,223.00,502.00
6,222.00,502.00
6,221.00,502.00
6,221.00,502.00
6,221.00,502.00
6,219.00,502.00
6,219.00,502.00
6,217.00,502.00
6,217.00,501.00
6,217.00,501.00
6,217.00,501.00
6,218.00,501.00
6,218.00,501.00
6,219.00,501.00
6,222.00,501.00
6,235.00,501.00
6,239.00,501.00
6,247.00,501.00
6,249.00,501.00
6,247.00,501.00
6,241.00,500.00
6,236.00,500.00
6,231.00,500.00
6,227.00,500.00
6,226.00,500.00
6,226.00,500.00
6,227.00,500.00
6,228.00,500.00
6,228.00,500.00
6,229.00,500.00
6,229.00,500.00
6,228.00,500.00
6,228.00,496.00
6,226.00,500.00
6,225.00,500.00
6,223.00,500.00
6,222.00,500.00
6,222.00,500.00
7,222.00,500.00
7,223.00,500.00
7,222.00,500.00
7,223.00,499.00
7,222.00,500.00
7,222.00,499.00
7,223.00,499.00
7,225.00,499.00
7,229.00,499.00
7,237.00,499.00
7,245.00,499.00
7,252.00,499.00
7,252.00,499.00
7,248.00,499.00
7,242.00,499.00
7,233.00,499.00
7,230.00,499.00
7,228.00,499.00
7,228.00,499.00
7,230.00,499.00
7,231.00,499.00
7,232.00,499.00
7,230.00,499.00
7,228.00,499.00
7,227.00,499.00
7,226.00,499.00
7,224.00,499.00
7,224.00,499.00
7,223.00,499.00
7,222.00,499.00
7,222.00,499.00
7,222.00,499.00
7,222.00,499.00
7,222.00,499.00
7,222.00,499.00
7,223.00,499.00
7,224.00,503.00
7,225.00,499.00
7,232.00,499.00
8,241.00,499.00
8,250.00,499.00
8,254.00,499.00
8,253.00,499.00
8,248.00,499.00
8,241.00,499.00
8,234.00,499.00
8,229.00,499.00
8,226.00,499.00
8,227.00,499.00
8,229.00,499.00
8,231.00,499.00
8,232.00,499.00
8,231.00,499.00
8,229.00,499.00
8,226.00,498.00
8,224.00,499.00
8,222.00,499.00
8,222.00,497.00
8,221.00,499.00
8,221.00,499.00
8,222.00,499.00
8,222.00,499.00
8,223.00,499.00
8,222.00,499.00
8,221.00,499.00
8,220.00,499.00
8,223.00,499.00
8,232.00,499.00
8,236.00,499.00
8,246.00,499.00
8,251.00,499.00
8,250.00,499.00
8,246.00,499.00
8,241.00,499.00
8,234.00,499.00
8,229.00,499.00
8,230.00,499.00
9,226.00,499.00
9,228.00,499.00
9,229.00,499.00
9,232.00,499.00
9,232.00,499.00
9,230.00,499.00
9,227.00,499.00
9,224.00,497.00
9,223.00,499.00
9,221.00,499.00
9,222.00,499.00
9,223.00,499.00
9,224.00,499.00
9,225.00,499.00
9,225.00,499.00
9,221.00,499.00
9,223.00,499.00
9,221.00,499.00
9,224.00,500.00
9,231.00,500.00
9,239.00,500.00
9,246.00,500.00
9,249.00,500.00
9,248.00,500.00
9,244.00,500.00
9,240.00,500.00
9,235.00,502.00
9,230.00,500.00
9,228.00,500.00
9,231.00,500.00
9,224.00,500.00
9,225.00,500.00
9,224.00,500.00
9,224.00,500.00
9,223.00,500.00
9,221.00,500.00
9,219.00,500.00
9,217.00,500.00
9,217.00,500.00
10,218.00,500.00
10,218.00,500.00
10,220.00,500.00
10,220.00,500.00
10,219.00,504.00
10,219.00,500.00
10,219.00,500.00
10,217.00,500.00
10,218.00,500.00
10,220.00,500.00
10,224.00,500.00
10,230.00,500.00
10,237.00,500.00
10,240.00,500.00
10,240.00,500.00
10,235.00,500.00
10,236.00,500.00
10,228.00,500.00
10,225.00,500.00
10,223.00,500.00
10,222.00,498.00
10,223.00,500.00
10,223.00,500.00
10,222.00,500.00
10,222.00,499.00
10,221.00,500.00
10,220.00,499.00
10,218.00,500.00
10,217.00,499.00
10,217.00,499.00
10,216.00,499.00
10,217.00,499.00
10,216.00,499.00
10,217.00,499.00
10,224.00,498.00
10,219.00,498.00
10,221.00,497.00
10,219.00,497.00
11,217.00,497.00
11,217.00,497.00
11,216.00,496.00
11,219.00,496.00
11,224.00,496.00
11,229.00,496.00
11,234.00,496.00
11,223.00,497.00
11,222.00,496.00
11,222.00,496.00
11,223.00,496.00
11,224.00,495.00
11,224.00,495.00
11,222.00,494.00
11,221.00,499.00
11,220.00,494.00
11,217.00,494.00
11,214.00,493.00
11,214.00,494.00
11,215.00,494.00
11,215.00,496.00
11,216.00,494.00
11,217.00,494.00
11,217.00,494.00
11,217.00,494.00
11,217.00,494.00
11,217.00,494.00
11,216.00,494.00
11,216.00,494.00
11,218.00,494.00
11,222.00,494.00
11,228.00,494.00
11,231.00,494.00
12,233.00,494.00
12,233.00,494.00
12,231.00,493.00
12,228.00,493.00
12,226.00,493.00
