Time, HR, GSR
0,457.00,522.00
0,453.00,522.00
0,457.00,522.00
0,457.00,522.00
0,456.00,522.00
0,456.00,522.00
0,456.00,522.00
0,456.00,522.00
0,456.00,522.00
0,456.00,522.00
0,455.00,521.00
0,455.00,521.00
0,455.00,527.00
0,455.00,521.00
0,454.00,521.00
0,454.00,521.00
0,454.00,521.00
0,454.00,520.00
0,453.00,520.00
0,453.00,520.00
0,453.00,520.00
0,452.00,520.00
0,452.00,520.00
0,452.00,520.00
0,452.00,516.00
0,452.00,520.00
0,452.00,520.00
0,452.00,520.00
0,452.00,520.00
0,451.00,519.00
1,451.00,519.00
1,451.00,519.00
1,449.00,518.00
1,450.00,518.00
1,448.00,518.00
1,448.00,518.00
1,447.00,517.00
1,327.00,504.00
1,147.00,505.00
1,279.00,507.00
1,389.00,509.00
1,447.00,523.00
1,445.00,520.00
1,18.00,508.00
1,47.00,509.00
1,176.00,509.00
1,288.00,510.00
1,332.00,511.00
1,329.00,511.00
1,323.00,512.00
1,325.00,512.00
1,325.00,512.00
1,306.00,512.00
1,274.00,512.00
1,243.00,512.00
1,226.00,512.00
1,216.00,512.00
1,213.00,512.00
1,215.00,512.00
1,216.00,512.00
1,227.00,512.00
1,227.00,512.00
1,225.00,512.00
1,216.00,512.00
2,209.00,512.00
2,206.00,512.00
2,215.00,512.00
2,322.00,513.00
2,207.00,512.00
2,206.00,512.00
2,211.00,512.00
2,213.00,512.00
2,225.00,512.00
2,225.00,512.00
2,220.00,512.00
2,211.00,512.00
2,205.00,512.00
2,200.00,512.00
2,203.00,512.00
2,211.00,512.00
2,210.00,512.00
2,212.00,512.00
2,215.00,512.00
3,215.00,512.00
3,214.00,512.00
3,212.00,512.00
3,212.00,512.00
3,231.00,512.00
3,270.00,512.00
3,310.00,513.00
3,321.00,513.00
3,300.00,512.00
3,263.00,512.00
3,231.00,512.00
3,212.00,512.00
3,205.00,512.00
3,204.00,512.00
3,209.00,512.00
3,217.00,512.00
3,224.00,512.00
3,224.00,512.00
3,220.00,512.00
3,209.00,512.00
3,205.00,512.00
3,203.00,512.00
3,202.00,512.00
3,204.00,512.00
3,208.00,512.00
3,211.00,512.00
3,214.00,512.00
3,215.00,512.00
3,214.00,512.00
3,212.00,512.00
3,212.00,512.00
3,223.00,512.00
3,255.00,512.00
3,302.00,513.00
4,319.00,513.00
4,305.00,512.00
4,265.00,512.00
4,232.00,512.00
4,212.00,512.00
4,199.00,512.00
4,205.00,512.00
4,211.00,512.00
4,221.00,512.00
4,228.00,512.00
4,229.00,512.00
4,224.00,512.00
4,216.00,512.00
4,208.00,512.00
4,204.00,512.00
4,203.00,512.00
4,205.00,512.00
4,209.00,512.00
4,213.00,512.00
4,215.00,512.00
4,215.00,512.00
4,214.00,512.00
4,215.00,512.00
4,230.00,513.00
4,265.00,513.00
4,301.00,513.00
4,311.00,513.00
4,290.00,513.00
4,255.00,512.00
4,226.00,512.00
4,209.00,512.00
4,202.00,512.00
4,204.00,512.00
5,210.00,512.00
5,220.00,512.00
5,227.00,513.00
5,227.00,513.00
5,221.00,512.00
5,212.00,512.00
5,206.00,512.00
5,202.00,512.00
5,202.00,512.00
5,205.00,512.00
5,209.00,512.00
5,212.00,512.00
5,214.00,512.00
5,214.00,512.00
5,213.00,512.00
5,215.00,512.00
5,230.00,512.00
5,266.00,513.00
5,305.00,513.00
5,318.00,513.00
5,298.00,513.00
5,261.00,513.00
5,231.00,513.00
5,213.00,512.00
5,207.00,512.00
5,207.00,512.00
5,212.00,512.00
5,221.00,512.00
5,226.00,512.00
5,226.00,512.00
5,222.00,512.00
5,214.00,512.00
5,208.00,512.00
5,205.00,512.00
6,204.00,512.00
6,206.00,512.00
6,209.00,512.00
6,213.00,512.00
6,215.00,512.00
6,215.00,512.00
6,214.00,512.00
6,214.00,512.00
