Time, HR, GSR
0,448.00,517.00
0,448.00,517.00
0,448.00,517.00
0,448.00,517.00
0,448.00,517.00
0,447.00,517.00
0,447.00,517.00
0,447.00,517.00
0,447.00,517.00
0,447.00,516.00
0,446.00,516.00
0,446.00,516.00
0,446.00,516.00
0,446.00,516.00
0,446.00,516.00
0,445.00,516.00
0,445.00,516.00
0,445.00,516.00
0,445.00,516.00
0,444.00,516.00
0,444.00,515.00
0,444.00,515.00
0,443.00,515.00
0,442.00,514.00
0,441.00,513.00
0,349.00,503.00
0,439.00,514.00
0,444.00,517.00
0,441.00,515.00
0,179.00,503.00
0,400.00,505.00
0,443.00,518.00
0,397.00,509.00
0,120.00,504.00
1,349.00,506.00
1,443.00,519.00
1,260.00,505.00
1,85.00,505.00
1,298.00,506.00
1,442.00,519.00
1,437.00,515.00
1,34.00,505.00
1,187.00,506.00
1,373.00,507.00
1,442.00,519.00
1,151.00,506.00
1,60.00,506.00
1,251.00,507.00
1,405.00,508.00
1,442.00,519.00
1,62.00,506.00
1,93.00,506.00
1,278.00,507.00
1,398.00,508.00
1,441.00,519.00
1,39.00,507.00
1,98.00,507.00
1,264.00,507.00
1,369.00,508.00
1,381.00,509.00
1,332.00,509.00
1,281.00,509.00
1,249.00,509.00
1,234.00,509.00
1,228.00,509.00
1,227.00,509.00
1,228.00,509.00
1,229.00,509.00
1,228.00,509.00
1,230.00,509.00
2,227.00,509.00
2,227.00,509.00
2,226.00,509.00
2,226.00,509.00
2,225.00,509.00
2,224.00,509.00
2,225.00,509.00
2,229.00,509.00
2,238.00,509.00
2,246.00,509.00
2,251.00,506.00
2,249.00,509.00
2,245.00,509.00
2,241.00,509.00
2,236.00,509.00
2,233.00,509.00
2,231.00,509.00
2,231.00,509.00
2,232.00,509.00
2,233.00,509.00
2,233.00,509.00
2,233.00,509.00
2,232.00,509.00
2,229.00,509.00
2,227.00,509.00
2,225.00,509.00
2,225.00,509.00
2,225.00,509.00
2,225.00,509.00
2,226.00,509.00
2,226.00,509.00
2,225.00,509.00
2,226.00,509.00
2,225.00,509.00
2,225.00,509.00
2,224.00,509.00
2,223.00,509.00
3,225.00,509.00
3,231.00,509.00
3,241.00,509.00
3,247.00,509.00
3,248.00,509.00
3,246.00,509.00
3,240.00,509.00
3,235.00,509.00
3,232.00,509.00
3,229.00,509.00
3,228.00,509.00
3,230.00,509.00
3,229.00,509.00
3,231.00,509.00
3,231.00,509.00
3,230.00,509.00
3,227.00,509.00
3,225.00,510.00
3,223.00,513.00
3,222.00,509.00
3,221.00,509.00
3,221.00,509.00
3,221.00,509.00
3,222.00,509.00
3,223.00,509.00
3,223.00,510.00
3,222.00,509.00
3,222.00,509.00
3,222.00,514.00
3,221.00,510.00
3,221.00,510.00
3,220.00,510.00
3,223.00,510.00
3,230.00,510.00
3,239.00,510.00
3,245.00,510.00
3,245.00,510.00
4,241.00,510.00
4,236.00,510.00
4,236.00,510.00
4,229.00,510.00
4,227.00,510.00
4,227.00,510.00
4,226.00,510.00
4,227.00,510.00
4,228.00,510.00
4,229.00,510.00
4,227.00,510.00
4,226.00,510.00
4,225.00,510.00
4,223.00,510.00
4,223.00,510.00
4,222.00,510.00
4,222.00,510.00
4,221.00,510.00
4,220.00,510.00
4,220.00,510.00
4,217.00,510.00
4,216.00,510.00
4,217.00,510.00
4,218.00,510.00
4,218.00,510.00
4,220.00,510.00
4,221.00,510.00
4,226.00,510.00
4,232.00,510.00
4,240.00,510.00
4,244.00,510.00
4,244.00,510.00
4,240.00,510.00
4,235.00,510.00
4,231.00,510.00
4,229.00,510.00
4,227.00,510.00
5,226.00,510.00
5,228.00,510.00
5,229.00,510.00
5,231.00,510.00
5,230.00,510.00
5,228.00,510.00
5,226.00,510.00
5,224.00,510.00
5,223.00,510.00
5,222.00,510.00
5,223.00,510.00
5,223.00,510.00
5,223.00,510.00
5,223.00,510.00
5,223.00,510.00
5,222.00,510.00
5,222.00,510.00
5,222.00,510.00
5,221.00,510.00
5,221.00,510.00
5,222.00,510.00
5,224.00,510.00
5,232.00,510.00
5,241.00,510.00
5,247.00,510.00
5,248.00,510.00
5,244.00,510.00
5,240.00,510.00
5,233.00,510.00
5,232.00,510.00
5,227.00,510.00
5,230.00,510.00
5,227.00,510.00
5,229.00,510.00
5,229.00,510.00
5,229.00,510.00
5,229.00,510.00
6,227.00,510.00
6,226.00,510.00
6,224.00,510.00
6,223.00,510.00
6,223.00,510.00
6,222.00,510.00
6,223.00,510.00
6,223.00,510.00
6,224.00,510.00
6,219.00,510.00
6,223.00,510.00
6,222.00,510.00
6,222.00,510.00
6,222.00,510.00
6,223.00,510.00
6,223.00,510.00
6,227.00,510.00
6,238.00,510.00
6,246.00,510.00
6,248.00,510.00
6,245.00,510.00
6,240.00,511.00
6,235.00,511.00
6,232.00,510.00
6,230.00,511.00
6,228.00,510.00
6,228.00,510.00
6,229.00,510.00
6,229.00,510.00
6,229.00,510.00
6,229.00,510.00
6,227.00,510.00
6,226.00,510.00
6,225.00,510.00
