Time, HR, GSR
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,459.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
0,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,458.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,522.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,457.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,456.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
1,455.00,521.00
2,455.00,521.00
2,455.00,521.00
2,455.00,521.00
2,455.00,521.00
2,455.00,520.00
2,455.00,520.00
2,455.00,520.00
2,455.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,454.00,520.00
2,453.00,520.00
2,453.00,520.00
2,453.00,519.00
2,453.00,519.00
2,453.00,519.00
2,452.00,519.00
2,452.00,519.00
2,452.00,519.00
2,452.00,519.00
2,452.00,519.00
2,451.00,519.00
2,451.00,519.00
2,451.00,518.00
2,451.00,518.00
2,451.00,518.00
2,450.00,518.00
2,450.00,518.00
2,450.00,518.00
2,450.00,518.00
2,450.00,518.00
2,450.00,518.00
2,450.00,518.00
2,454.00,518.00
3,449.00,518.00
3,449.00,518.00
3,449.00,517.00
3,449.00,517.00
3,448.00,517.00
3,448.00,517.00
3,447.00,517.00
3,447.00,516.00
3,446.00,516.00
3,445.00,515.00
3,330.00,503.00
3,240.00,504.00
3,414.00,507.00
3,447.00,520.00
3,446.00,519.00
3,181.00,505.00
3,89.00,506.00
3,237.00,507.00
3,370.00,509.00
3,445.00,522.00
3,445.00,520.00
3,80.00,507.00
3,41.00,508.00
3,166.00,508.00
3,291.00,509.00
3,356.00,510.00
3,358.00,510.00
3,321.00,511.00
3,279.00,511.00
3,247.00,511.00
3,235.00,511.00
3,244.00,511.00
3,266.00,511.00
3,287.00,511.00
3,296.00,511.00
3,291.00,511.00
3,279.00,511.00
3,266.00,511.00
4,257.00,511.00
4,250.00,511.00
4,246.00,511.00
4,241.00,511.00
4,235.00,511.00
4,231.00,511.00
4,228.00,511.00
4,228.00,511.00
4,228.00,511.00
4,231.00,511.00
4,227.00,511.00
4,226.00,511.00
4,225.00,511.00
4,223.00,511.00
4,221.00,511.00
4,220.00,511.00
4,220.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,220.00,511.00
4,220.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,219.00,511.00
4,222.00,511.00
