Time, HR, GSR
0,292.00,512.00
0,281.00,512.00
0,266.00,512.00
0,255.00,512.00
0,246.00,512.00
0,237.00,512.00
0,227.00,512.00
0,217.00,511.00
0,212.00,511.00
0,213.00,511.00
0,217.00,511.00
0,228.00,511.00
0,226.00,511.00
0,226.00,511.00
0,223.00,511.00
0,217.00,511.00
0,212.00,511.00
0,209.00,511.00
0,208.00,511.00
0,208.00,511.00
0,209.00,511.00
0,209.00,511.00
0,210.00,511.00
0,208.00,511.00
0,209.00,511.00
0,209.00,511.00
0,208.00,511.00
0,208.00,511.00
0,208.00,511.00
0,213.00,512.00
0,231.00,512.00
1,255.00,512.00
1,276.00,512.00
1,281.00,512.00
1,271.00,512.00
1,256.00,512.00
1,245.00,512.00
1,237.00,512.00
1,228.00,512.00
1,227.00,513.00
1,226.00,514.00
1,226.00,515.00
1,225.00,516.00
1,225.00,517.00
1,222.00,514.00
1,215.00,512.00
1,214.00,511.00
1,215.00,509.00
1,217.00,508.00
1,215.00,508.00
1,212.00,509.00
1,213.00,509.00
1,215.00,509.00
1,217.00,510.00
1,218.00,510.00
1,217.00,510.00
1,217.00,511.00
1,219.00,512.00
1,216.00,513.00
1,218.00,519.00
1,233.00,512.00
1,260.00,511.00
1,276.00,510.00
1,282.00,508.00
1,273.00,508.00
2,263.00,508.00
2,249.00,509.00
2,242.00,510.00
2,222.00,512.00
2,214.00,513.00
2,215.00,514.00
2,214.00,513.00
2,215.00,513.00
2,217.00,514.00
2,216.00,514.00
2,211.00,512.00
2,209.00,512.00
2,209.00,511.00
2,210.00,510.00
2,213.00,510.00
2,214.00,511.00
2,219.00,513.00
2,220.00,512.00
2,217.00,516.00
2,214.00,517.00
2,205.00,514.00
2,202.00,512.00
2,214.00,510.00
2,246.00,510.00
2,279.00,512.00
2,295.00,513.00
2,284.00,513.00
2,269.00,514.00
2,253.00,515.00
2,246.00,515.00
3,239.00,516.00
3,233.00,516.00
3,223.00,516.00
3,216.00,512.00
3,209.00,511.00
3,210.00,512.00
3,213.00,513.00
3,214.00,511.00
3,213.00,509.00
3,210.00,509.00
3,209.00,509.00
3,210.00,510.00
3,213.00,510.00
3,216.00,512.00
3,216.00,513.00
3,209.00,511.00
3,209.00,511.00
3,210.00,512.00
3,210.00,511.00
3,209.00,511.00
3,208.00,511.00
3,207.00,511.00
3,215.00,511.00
3,233.00,511.00
3,259.00,511.00
3,283.00,511.00
3,282.00,511.00
3,271.00,511.00
3,256.00,511.00
3,244.00,511.00
3,237.00,511.00
3,230.00,511.00
3,222.00,511.00
3,216.00,511.00
4,214.00,511.00
4,216.00,511.00
4,216.00,511.00
4,226.00,511.00
4,220.00,511.00
4,219.00,511.00
4,217.00,511.00
4,215.00,511.00
4,214.00,511.00
4,214.00,511.00
4,214.00,512.00
4,216.00,513.00
4,217.00,514.00
4,214.00,514.00
4,210.00,513.00
4,212.00,513.00
4,224.00,512.00
4,252.00,512.00
4,280.00,512.00
4,287.00,512.00
4,284.00,513.00
4,273.00,514.00
4,261.00,516.00
4,252.00,517.00
4,242.00,517.00
4,231.00,518.00
4,220.00,519.00
4,211.00,517.00
4,204.00,514.00
4,206.00,514.00
4,213.00,514.00
4,217.00,513.00
4,219.00,513.00
4,222.00,514.00
5,220.00,515.00
