Time, HR, GSR
0,456.00,524.00
0,456.00,525.00
0,456.00,524.00
0,456.00,525.00
0,456.00,524.00
0,456.00,524.00
0,456.00,524.00
0,456.00,524.00
0,456.00,524.00
0,456.00,524.00
0,456.00,524.00
0,455.00,529.00
0,456.00,525.00
0,456.00,525.00
0,456.00,525.00
0,456.00,525.00
0,456.00,525.00
0,455.00,525.00
0,456.00,525.00
0,452.00,525.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,455.00,524.00
0,454.00,523.00
0,454.00,524.00
0,454.00,524.00
1,454.00,531.00
1,454.00,524.00
1,454.00,524.00
1,459.00,524.00
1,453.00,524.00
1,455.00,524.00
1,453.00,524.00
1,453.00,530.00
1,453.00,520.00
1,453.00,519.00
1,453.00,524.00
1,452.00,524.00
1,452.00,523.00
1,452.00,524.00
1,452.00,524.00
1,452.00,524.00
1,452.00,524.00
1,452.00,524.00
1,452.00,524.00
1,452.00,524.00
1,452.00,522.00
1,452.00,524.00
1,452.00,524.00
1,451.00,524.00
1,451.00,527.00
1,451.00,524.00
1,451.00,530.00
1,451.00,524.00
1,451.00,524.00
1,451.00,524.00
1,450.00,523.00
1,450.00,523.00
1,450.00,523.00
1,450.00,520.00
1,449.00,523.00
1,449.00,523.00
1,449.00,523.00
2,449.00,523.00
2,448.00,523.00
2,448.00,523.00
2,448.00,523.00
2,447.00,522.00
2,447.00,522.00
2,446.00,522.00
2,446.00,522.00
2,445.00,520.00
2,444.00,521.00
2,442.00,518.00
2,253.00,510.00
2,418.00,521.00
2,445.00,527.00
2,444.00,525.00
2,137.00,512.00
2,184.00,514.00
2,373.00,516.00
2,442.00,529.00
2,441.00,525.00
2,53.00,515.00
2,177.00,516.00
2,377.00,518.00
2,445.00,536.00
2,443.00,525.00
2,74.00,515.00
2,150.00,516.00
2,318.00,517.00
2,437.00,525.00
2,444.00,532.00
2,115.00,515.00
2,46.00,516.00
2,192.00,517.00
2,329.00,513.00
2,391.00,514.00
2,376.00,519.00
2,319.00,519.00
2,269.00,519.00
3,239.00,519.00
3,224.00,519.00
3,219.00,519.00
3,218.00,519.00
3,220.00,519.00
3,221.00,519.00
3,223.00,517.00
3,224.00,519.00
3,224.00,519.00
3,224.00,517.00
3,224.00,519.00
3,223.00,519.00
3,222.00,519.00
3,221.00,519.00
3,220.00,519.00
3,219.00,519.00
3,219.00,519.00
3,219.00,519.00
3,219.00,519.00
3,220.00,519.00
3,230.00,519.00
3,253.00,519.00
3,280.00,519.00
3,298.00,520.00
3,298.00,520.00
3,283.00,519.00
3,260.00,519.00
3,240.00,518.00
3,227.00,519.00
3,221.00,519.00
3,221.00,519.00
3,225.00,519.00
3,232.00,519.00
3,242.00,519.00
3,241.00,519.00
3,240.00,519.00
3,235.00,519.00
4,229.00,519.00
4,223.00,519.00
4,217.00,519.00
4,216.00,519.00
4,216.00,519.00
4,216.00,519.00
4,216.00,519.00
4,219.00,519.00
4,219.00,519.00
4,219.00,519.00
4,220.00,519.00
4,220.00,519.00
4,220.00,519.00
4,219.00,519.00
4,219.00,521.00
4,218.00,519.00
4,217.00,519.00
4,216.00,519.00
4,214.00,519.00
4,217.00,519.00
4,216.00,519.00
4,216.00,519.00
4,223.00,519.00
4,243.00,519.00
4,272.00,519.00
4,297.00,519.00
4,304.00,519.00
4,291.00,519.00
4,268.00,519.00
4,246.00,519.00
4,231.00,519.00
4,222.00,519.00
4,222.00,519.00
4,225.00,519.00
4,231.00,519.00
4,236.00,519.00
4,241.00,519.00
5,240.00,519.00
5,236.00,519.00
5,230.00,519.00
5,223.00,519.00
5,219.00,519.00
5,216.00,519.00
5,215.00,519.00
5,215.00,519.00
5,218.00,519.00
5,217.00,519.00
5,218.00,519.00
5,219.00,519.00
5,219.00,519.00
5,220.00,519.00
5,220.00,519.00
5,218.00,519.00
5,216.00,519.00
5,217.00,519.00
5,217.00,519.00
5,216.00,519.00
5,216.00,519.00
5,216.00,519.00
5,216.00,519.00
5,214.00,519.00
5,218.00,519.00
5,228.00,519.00
5,252.00,519.00
5,279.00,519.00
5,297.00,519.00
5,296.00,519.00
5,278.00,519.00
5,255.00,519.00
5,232.00,519.00
5,220.00,519.00
5,218.00,519.00
5,221.00,519.00
5,226.00,519.00
6,233.00,519.00
6,240.00,519.00
6,243.00,519.00
6,241.00,519.00
6,236.00,519.00
6,228.00,519.00
6,220.00,519.00
6,217.00,519.00
6,214.00,519.00
6,213.00,519.00
6,215.00,519.00
6,217.00,519.00
6,219.00,519.00
6,220.00,519.00
6,220.00,519.00
6,220.00,519.00
6,220.00,519.00
6,219.00,519.00
6,219.00,519.00
6,217.00,519.00
6,217.00,519.00
6,217.00,519.00
6,216.00,519.00
6,215.00,519.00
6,216.00,519.00
6,224.00,519.00
6,245.00,519.00
6,274.00,519.00
6,295.00,519.00
6,298.00,519.00
6,283.00,519.00
6,260.00,519.00
6,237.00,519.00
6,225.00,519.00
6,218.00,519.00
6,218.00,519.00
6,223.00,519.00
7,230.00,519.00
7,237.00,519.00
7,241.00,519.00
7,240.00,519.00
7,235.00,519.00
7,228.00,519.00
7,227.00,519.00
