Time, HR, GSR
0,451.00,521.00
0,451.00,521.00
0,451.00,520.00
0,450.00,520.00
0,450.00,520.00
0,450.00,520.00
0,450.00,520.00
0,450.00,520.00
0,449.00,520.00
0,449.00,520.00
0,449.00,519.00
0,448.00,519.00
0,446.00,518.00
0,232.00,505.00
0,152.00,513.00
0,270.00,509.00
0,379.00,511.00
0,446.00,524.00
0,448.00,524.00
0,444.00,520.00
0,28.00,509.00
0,49.00,510.00
0,166.00,511.00
0,276.00,512.00
0,334.00,513.00
0,338.00,513.00
0,304.00,514.00
0,268.00,514.00
0,241.00,511.00
0,228.00,514.00
0,223.00,514.00
0,224.00,514.00
0,226.00,513.00
0,227.00,514.00
1,227.00,515.00
1,227.00,515.00
1,228.00,515.00
1,229.00,515.00
1,235.00,515.00
1,251.00,515.00
1,271.00,515.00
1,284.00,515.00
1,284.00,515.00
1,272.00,515.00
1,256.00,515.00
1,241.00,515.00
1,229.00,515.00
1,222.00,522.00
1,219.00,515.00
1,223.00,515.00
1,229.00,515.00
1,235.00,515.00
1,238.00,515.00
1,236.00,515.00
1,233.00,515.00
1,228.00,515.00
1,223.00,515.00
1,222.00,515.00
1,221.00,515.00
1,222.00,515.00
1,224.00,515.00
1,226.00,515.00
1,227.00,515.00
1,228.00,518.00
1,229.00,515.00
1,228.00,515.00
1,226.00,515.00
1,225.00,515.00
1,223.00,512.00
1,222.00,515.00
1,222.00,519.00
1,225.00,515.00
2,235.00,515.00
2,253.00,515.00
2,272.00,515.00
2,282.00,515.00
2,277.00,515.00
2,263.00,515.00
2,246.00,519.00
2,232.00,515.00
2,221.00,515.00
2,216.00,515.00
2,215.00,515.00
2,219.00,515.00
2,227.00,515.00
2,233.00,515.00
2,235.00,515.00
2,233.00,515.00
2,227.00,515.00
2,222.00,515.00
2,219.00,515.00
2,218.00,515.00
2,218.00,515.00
2,220.00,518.00
2,222.00,515.00
2,224.00,515.00
2,226.00,515.00
2,227.00,515.00
2,230.00,515.00
2,227.00,515.00
2,226.00,515.00
2,224.00,515.00
2,223.00,515.00
2,223.00,515.00
2,223.00,515.00
2,225.00,515.00
2,232.00,515.00
2,245.00,515.00
2,268.00,515.00
2,282.00,515.00
3,283.00,515.00
3,271.00,515.00
3,255.00,515.00
3,239.00,515.00
3,226.00,515.00
3,218.00,513.00
3,215.00,515.00
3,217.00,515.00
3,222.00,515.00
3,228.00,515.00
3,231.00,515.00
3,231.00,515.00
3,228.00,515.00
3,223.00,515.00
3,221.00,515.00
3,219.00,515.00
3,219.00,515.00
3,220.00,515.00
3,223.00,515.00
