Time, HR, GSR
0,455.00,508.00
0,454.00,508.00
0,454.00,508.00
0,454.00,508.00
0,454.00,508.00
0,453.00,508.00
0,453.00,508.00
0,453.00,508.00
0,453.00,508.00
0,453.00,508.00
0,453.00,508.00
0,452.00,507.00
0,452.00,507.00
0,452.00,507.00
0,452.00,507.00
0,452.00,507.00
0,451.00,507.00
0,451.00,507.00
0,451.00,507.00
0,451.00,507.00
0,450.00,507.00
0,450.00,506.00
0,450.00,506.00
1,450.00,506.00
1,450.00,506.00
1,449.00,506.00
1,449.00,506.00
1,449.00,505.00
1,448.00,504.00
1,448.00,503.00
1,448.00,503.00
1,447.00,502.00
1,447.00,502.00
1,446.00,501.00
1,445.00,500.00
1,438.00,496.00
1,303.00,489.00
1,445.00,504.00
1,446.00,504.00
1,442.00,500.00
1,128.00,490.00
1,294.00,492.00
1,444.00,504.00
1,445.00,505.00
1,189.00,491.00
1,79.00,492.00
1,246.00,493.00
1,394.00,494.00
1,445.00,506.00
1,300.00,493.00
1,30.00,493.00
1,144.00,494.00
1,293.00,495.00
1,382.00,495.00
1,393.00,496.00
1,343.00,496.00
1,291.00,496.00
1,255.00,496.00
1,235.00,496.00
1,226.00,496.00
1,223.00,496.00
2,223.00,496.00
2,224.00,496.00
2,224.00,496.00
2,224.00,496.00
2,224.00,496.00
2,225.00,497.00
2,225.00,497.00
2,226.00,497.00
2,226.00,497.00
2,226.00,497.00
2,226.00,497.00
2,226.00,497.00
2,225.00,497.00
2,224.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,222.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,224.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,223.00,497.00
2,222.00,497.00
2,222.00,497.00
2,223.00,497.00
2,224.00,497.00
2,223.00,497.00
2,225.00,497.00
2,226.00,497.00
2,225.00,497.00
2,226.00,497.00
2,226.00,497.00
3,225.00,497.00
3,225.00,497.00
3,224.00,497.00
3,223.00,497.00
3,224.00,497.00
3,225.00,497.00
3,225.00,497.00
3,224.00,497.00
3,223.00,497.00
3,224.00,497.00
3,223.00,497.00
3,222.00,497.00
3,222.00,497.00
3,223.00,497.00
3,223.00,497.00
3,223.00,497.00
3,223.00,497.00
3,222.00,497.00
3,223.00,497.00
3,223.00,497.00
3,224.00,497.00
3,225.00,498.00
3,226.00,497.00
3,228.00,497.00
3,228.00,497.00
3,228.00,497.00
3,227.00,497.00
3,226.00,497.00
3,226.00,497.00
3,227.00,497.00
3,226.00,497.00
3,226.00,497.00
3,226.00,497.00
3,227.00,497.00
3,227.00,497.00
3,226.00,497.00
3,226.00,497.00
3,226.00,497.00
3,229.00,497.00
4,226.00,497.00
4,226.00,497.00
4,226.00,497.00
4,226.00,498.00
4,225.00,498.00
4,224.00,498.00
4,225.00,498.00
4,225.00,498.00
4,226.00,498.00
4,226.00,498.00
4,226.00,498.00
4,228.00,501.00
4,231.00,498.00
4,233.00,498.00
4,234.00,498.00
4,235.00,498.00
4,234.00,498.00
4,234.00,498.00
4,236.00,498.00
4,231.00,498.00
4,232.00,498.00
4,232.00,498.00
4,231.00,498.00
4,232.00,498.00
4,233.00,498.00
4,232.00,498.00
4,230.00,498.00
4,229.00,498.00
4,228.00,498.00
4,228.00,498.00
4,229.00,498.00
4,230.00,498.00
4,230.00,498.00
4,230.00,498.00
4,229.00,498.00
4,228.00,498.00
4,228.00,498.00
4,227.00,498.00
4,227.00,498.00
5,228.00,498.00
5,231.00,498.00
5,237.00,498.00
5,241.00,498.00
5,243.00,498.00
5,243.00,498.00
5,242.00,498.00
5,241.00,498.00
5,240.00,498.00
5,239.00,498.00
5,238.00,498.00
5,238.00,498.00
5,235.00,498.00
5,240.00,498.00
5,240.00,498.00
5,240.00,498.00
5,240.00,498.00
5,238.00,498.00
5,237.00,498.00
5,235.00,498.00
5,235.00,498.00
5,237.00,498.00
5,234.00,498.00
5,234.00,498.00
