Time, HR, GSR,label
0,455,524,elated
0,455,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,454,524,elated
0,453,524,elated
0,453,524,elated
0,453,524,elated
0,453,524,elated
0,452,524,elated
0,453,524,elated
0,453,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,519,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,452,524,elated
0,451,524,elated
0,451,524,elated
0,451,524,elated
0,451,524,elated
0,451,524,elated
1,451,524,elated
1,451,524,elated
1,450,524,elated
1,450,523,elated
1,450,523,elated
1,450,523,elated
1,449,523,elated
1,449,523,elated
1,449,523,elated
1,449,523,elated
1,449,523,elated
1,448,523,elated
1,448,523,elated
1,448,523,elated
1,448,528,elated
1,447,523,elated
1,447,523,elated
1,446,522,elated
1,446,522,elated
1,446,522,elated
1,445,520,elated
1,444,525,elated
1,443,518,elated
1,441,525,elated
1,306,505,elated
1,443,525,elated
1,446,526,elated
1,444,524,elated
1,265,511,elated
1,221,513,elated
1,434,520,elated
1,445,528,elated
1,440,523,elated
1,81,514,elated
1,227,512,elated
1,409,518,elated
1,445,529,elated
2,320,516,elated
2,49,515,elated
2,198,522,elated
2,368,518,elated
2,442,529,elated
2,441,530,elated
2,23,520,elated
2,92,515,elated
2,245,516,elated
2,347,518,elated
2,366,519,elated
2,328,518,elated
2,280,518,elated
2,247,526,elated
2,230,519,elated
2,225,519,elated
2,224,516,elated
2,225,517,elated
2,226,519,elated
2,228,519,elated
2,226,519,elated
2,226,519,elated
2,227,526,elated
2,238,519,elated
2,256,519,elated
2,276,519,elated
2,288,525,elated
2,288,519,elated
2,277,519,elated
2,260,519,elated
2,243,519,elated
2,238,519,elated
2,233,519,elated
2,232,519,elated
2,234,519,elated
2,239,519,elated
2,243,519,elated
3,245,518,elated
3,244,519,elated
3,240,519,elated
3,235,519,elated
3,230,519,elated
3,226,519,elated
3,223,519,elated
3,221,519,elated
3,221,519,elated
3,221,519,elated
3,222,519,elated
3,222,519,elated
3,223,519,elated
3,222,519,elated
3,223,522,elated
3,222,519,elated
3,222,519,elated
3,221,519,elated
3,221,519,elated
3,221,519,elated
3,220,519,elated
3,220,519,elated
3,221,519,elated
3,221,519,elated
3,224,519,elated
3,240,519,elated
3,262,519,elated
3,281,519,elated
3,291,519,elated
3,285,519,elated
3,275,519,elated
3,252,516,elated
3,239,519,elated
3,232,519,elated
3,229,514,elated
3,230,519,elated
3,233,519,elated
4,238,519,elated
4,245,519,elated
4,242,519,elated
4,240,519,elated
4,242,519,elated
4,230,519,elated
4,224,519,elated
4,220,519,elated
4,219,519,elated
4,225,519,elated
4,219,519,elated
4,219,519,elated
4,219,519,elated
4,220,519,elated
4,220,519,elated
4,221,519,elated
4,220,519,elated
4,220,519,elated
4,220,519,elated
4,220,519,elated
4,219,519,elated
4,218,519,elated
4,218,519,elated
4,218,519,elated
4,218,519,elated
4,223,519,elated
4,235,519,elated
4,268,519,elated
4,283,519,elated
4,290,519,elated
4,282,519,elated
4,267,519,elated
4,248,519,elated
4,234,519,elated
4,227,519,elated
4,225,519,elated
4,227,519,elated
5,231,519,elated
5,237,519,elated
5,240,519,elated
5,240,519,elated
5,237,519,elated
5,228,519,elated
5,226,519,elated
5,221,519,elated
5,218,519,elated
5,217,519,elated
5,217,519,elated
5,213,519,elated
5,218,519,elated
5,219,519,elated
5,219,519,elated
5,219,519,elated
5,219,519,elated
5,219,519,elated
5,218,519,elated
5,218,519,elated
5,218,519,elated
5,217,519,elated
5,217,519,elated
5,216,519,elated
5,218,519,elated
5,228,519,elated
5,248,519,elated
5,270,519,elated
5,283,519,elated
5,280,519,elated
5,267,519,elated
5,250,519,elated
5,235,519,elated
5,226,519,elated
5,222,519,elated
5,221,519,elated
5,226,519,elated
6,232,519,elated
6,237,519,elated
6,239,519,elated
6,238,519,elated
6,234,519,elated
6,228,519,elated
6,221,519,elated
6,219,519,elated
6,217,519,elated
6,215,519,elated
6,215,519,elated
6,216,519,elated
6,217,519,elated
6,217,519,elated
6,218,519,elated
6,219,519,elated
6,219,519,elated
6,219,519,elated
6,218,519,elated
6,219,519,elated
6,217,519,elated
6,217,519,elated
6,216,519,elated
6,222,519,elated
6,237,519,elated
6,258,519,elated
6,274,519,elated
6,277,519,elated
6,269,519,elated
6,253,519,elated
6,236,519,elated
6,226,519,elated
6,221,519,elated
6,224,519,elated
6,224,519,elated
6,229,519,elated
6,235,519,elated
6,237,519,elated
7,236,519,elated
7,229,519,elated
7,226,519,elated
7,222,519,elated
7,218,519,elated
7,218,519,elated
7,215,519,elated
7,213,519,elated
7,216,519,elated
7,217,519,elated
7,218,519,elated
7,219,519,elated
7,219,519,elated
7,219,519,elated
7,219,519,elated
7,219,519,elated
7,217,519,elated
7,216,519,elated
7,217,519,elated
7,224,519,elated
7,240,519,elated
7,261,519,elated
7,276,519,elated
7,278,519,elated
7,268,519,elated
7,251,519,elated
7,236,519,elated
7,227,519,elated
7,222,514,elated
7,221,519,elated
7,223,519,elated
7,228,519,elated
7,231,519,elated
7,233,519,elated
7,234,519,elated
7,226,519,elated
8,223,519,elated
8,219,519,elated
8,215,519,elated
8,213,519,elated
8,213,519,elated
8,213,519,elated
8,213,519,elated
8,214,519,elated
8,214,519,elated
8,215,518,elated
8,215,519,elated
8,216,519,elated
8,216,519,elated
