Time, HR, GSR,label
0,456,524,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,524,tired
0,456,524,tired
0,456,525,tired
0,456,524,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,524,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,525,tired
0,456,524,tired
0,456,524,tired
0,456,525,tired
0,456,524,tired
0,456,524,tired
0,456,524,tired
0,456,524,tired
0,456,524,tired
0,455,524,tired
0,455,524,tired
0,455,524,tired
0,455,524,tired
0,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,454,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,455,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,454,524,tired
1,453,524,tired
1,458,524,tired
1,453,524,tired
1,453,524,tired
1,453,524,tired
1,453,524,tired
1,453,524,tired
1,453,524,tired
1,454,524,tired
1,453,524,tired
2,453,524,tired
2,453,524,tired
2,453,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,452,524,tired
2,451,524,tired
2,451,524,tired
2,451,524,tired
2,451,524,tired
2,451,524,tired
2,451,524,tired
2,450,523,tired
2,450,523,tired
2,450,523,tired
2,450,523,tired
2,450,523,tired
2,450,523,tired
2,450,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,449,523,tired
2,448,523,tired
2,448,523,tired
2,448,523,tired
3,448,523,tired
3,448,523,tired
3,447,523,tired
3,447,523,tired
3,447,523,tired
3,447,526,tired
3,446,522,tired
3,447,522,tired
3,446,522,tired
3,446,522,tired
3,445,522,tired
3,445,522,tired
3,444,522,tired
3,444,521,tired
3,443,521,tired
3,442,520,tired
3,360,510,tired
3,437,520,tired
3,444,526,tired
3,443,524,tired
3,244,511,tired
3,313,513,tired
3,444,528,tired
3,444,526,tired
3,221,512,tired
3,191,514,tired
3,419,517,tired
3,444,528,tired
3,328,515,tired
3,90,514,tired
3,278,516,tired
3,441,528,tired
3,443,527,tired
3,81,514,tired
3,121,516,tired
3,312,517,tired
3,441,529,tired
4,440,526,tired
4,31,515,tired
4,123,516,tired
4,292,517,tired
4,395,518,tired
4,442,529,tired
4,183,516,tired
4,35,517,tired
4,160,517,tired
4,293,518,tired
4,355,518,tired
4,350,519,tired
4,314,519,tired
4,282,519,tired
4,267,519,tired
4,261,519,tired
4,257,519,tired
4,253,517,tired
4,247,519,tired
4,244,520,tired
4,242,519,tired
4,239,519,tired
4,238,519,tired
4,238,519,tired
4,237,519,tired
4,238,519,tired
4,237,519,tired
4,234,519,tired
4,232,519,tired
4,229,519,tired
4,227,519,tired
4,225,519,tired
4,224,519,tired
4,223,519,tired
4,224,519,tired
4,225,519,tired
4,225,519,tired
5,227,519,tired
5,229,519,tired
5,230,519,tired
5,231,519,tired
5,229,519,tired
5,231,519,tired
5,232,519,tired
5,236,517,tired
5,245,519,tired
5,256,519,tired
5,261,519,tired
5,260,519,tired
5,252,519,tired
5,242,519,tired
5,235,519,tired
5,231,519,tired
5,229,519,tired
5,230,519,tired
5,229,519,tired
5,228,519,tired
5,228,519,tired
5,229,519,tired
5,228,519,tired
5,226,519,tired
5,224,519,tired
5,222,516,tired
5,221,519,tired
5,220,519,tired
5,220,519,tired
5,220,519,tired
5,220,519,tired
5,220,519,tired
5,221,519,tired
5,221,519,tired
5,220,519,tired
5,219,519,tired
5,220,519,tired
6,219,519,tired
6,218,519,tired
6,222,519,tired
6,228,519,tired
6,239,519,tired
6,248,519,tired
6,252,519,tired
6,249,519,tired
6,243,519,tired
6,236,519,tired
