Time, HR, GSR,label
0,466,526,tired
0,466,526,tired
0,470,526,tired
0,466,526,tired
0,467,526,tired
0,465,526,tired
0,465,526,tired
0,465,526,tired
0,465,526,tired
0,465,526,tired
0,465,526,tired
0,465,526,tired
0,470,527,tired
0,466,527,tired
0,466,527,tired
0,466,531,tired
0,466,527,tired
0,466,527,tired
0,464,527,tired
0,466,528,tired
0,466,527,tired
0,471,527,tired
0,466,527,tired
0,466,527,tired
0,466,527,tired
0,466,526,tired
0,465,526,tired
0,466,526,tired
0,466,526,tired
0,466,526,tired
0,466,527,tired
0,466,527,tired
0,466,527,tired
0,466,526,tired
0,466,527,tired
0,466,527,tired
0,465,527,tired
0,466,525,tired
0,466,527,tired
0,466,527,tired
0,466,527,tired
0,466,526,tired
0,466,528,tired
0,466,526,tired
0,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,524,tired
1,466,526,tired
1,466,526,tired
1,467,524,tired
1,467,526,tired
1,467,531,tired
1,467,526,tired
1,467,526,tired
1,467,525,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,466,526,tired
1,467,529,tired
1,466,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,531,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,528,tired
1,467,526,tired
1,467,531,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,526,tired
1,467,527,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,524,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,467,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,531,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
2,466,526,tired
3,466,526,tired
3,466,526,tired
3,470,526,tired
3,465,526,tired
3,465,526,tired
3,465,525,tired
3,465,526,tired
3,465,526,tired
3,465,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,464,526,tired
3,463,526,tired
3,463,526,tired
3,463,526,tired
3,463,525,tired
3,463,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,526,tired
3,462,527,tired
3,462,526,tired
3,462,527,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,461,526,tired
3,460,526,tired
3,460,526,tired
3,460,526,tired
3,460,526,tired
3,460,526,tired
3,460,526,tired
4,460,526,tired
4,460,526,tired
4,460,527,tired
4,460,527,tired
4,460,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,461,527,tired
4,460,524,tired
4,460,526,tired
4,460,526,tired
4,460,526,tired
4,460,526,tired
4,460,526,tired
4,459,526,tired
4,459,526,tired
4,459,526,tired
4,459,526,tired
4,459,527,tired
4,459,526,tired
4,458,526,tired
4,458,526,tired
4,458,526,tired
4,458,526,tired
4,458,525,tired
4,458,526,tired
